Khitan Small Script readings (lowercase) and meanings (uppercase). Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, originally based on Wu Yingzhe [Wú Yīngzhé 吴英喆] and Juha Janhunen. New Materials on the Khitan Small Script: A Critical Edition of Xiao Dilu and Yelü Xiangwen. Folkestone: Global Oriental, 2010. ISBN 978-19-06-87650-0
18B00,DITTO
18B01,NORTH / ABOVE
18B02,TWENTY
18B03,
18B04,hong
18B05,iû
18B06,
18B07,
18B08,WHITE
18B09,WHITE
18B0A,MOUNTAIN / TOMB
18B0B,ai
18B0C,EIGHT
18B0D,EIGHT
18B0E,NORTH+d
18B0F,
18B10,an
18B11,
18B12,
18B13,húr
18B14,
18B15,HUNDRED (jau)
18B16,in
18B17,od
18B18,
18B19,
18B1A,in
18B1B,iu
18B1C,y
18B1D,mo
18B1E,cau
18B1F,ih
18B20,
18B21,
18B22,
18B23,ONE
18B24,ONE
18B25,sh
18B26,FIVE (tau)
18B27,FIVE (tau)
18B28,
18B29,
18B2A,NINE (is)
18B2B,NINE (is)
18B2C,
18B2D,xu
18B2E,di
18B2F,zhi
18B30,
18B31,zhi
18B32,
18B33,
18B34,
18B35,
18B36,WEST
18B37,su
18B38,
18B39,
18B3A,
18B3B,
18B3C,
18B3D,hor
18B3E,hor
18B3F,
18B40,ai
18B41,
18B42,ha
18B43,RECORD
18B44,RECORD
18B45,qa
18B46,
18B47,
18B48,
18B49,
18B4A,xo
18B4B,
18B4C,uni
18B4D,bai
18B4E,bai
18B4F,iáng
18B50,ETERNAL
18B51,lu
18B52,
18B53,
18B54,
18B55,eu
18B56,us
18B57,rí
18B58,w
18B59,ong
18B5A,EAST
18B5B,ên
18B5C,tir
18B5D,hong
18B5E,ho
18B5F,
18B60,
18B61,
18B62,ii
18B63,
18B64,
18B65,
18B66,TENT
18B67,MONTH
18B68,üe
18B69,sï
18B6A,ra
18B6B,ra
18B6C,SIX
18B6D,SIX
18B6E,
18B6F,jï
18B70,
18B71,zu
18B72,ó
18B73,
18B74,ud
18B75,
18B76,ud
18B77,ung
18B78,oi
18B79,
18B7A,e
18B7B,
18B7C,
18B7D,ge
18B7E,ï
18B7F,î
18B80,SOME
18B81,
18B82,
18B83,qú
18B84,qú
18B85,al
18B86,
18B87,ad
18B88,én
18B89,deu
18B8A,cu
18B8B,us
18B8C,jïh
18B8D,
18B8E,én
18B8F,dz
18B90,
18B91,
18B92,úr
18B93,
18B94,
18B95,
18B96,
18B97,po
18B98,áng
18B99,
18B9A,
18B9B,k
18B9C,
18B9D,GOLD
18B9E,GOLD
18B9F,to
18BA0,bun
18BA1,iú
18BA2,án
18BA3,
18BA4,
18BA5,
18BA6,SOUTH
18BA7,p
18BA8,
18BA9,
18BAA,pú
18BAB,co
18BAC,
18BAD,SEVENTY
18BAE,SEVENTY
18BAF,il
18BB0,ing
18BB1,
18BB2,
18BB3,
18BB4,
18BB5,COMPOSE
18BB6,hó
18BB7,COMPOSE
18BB8,
18BB9,COMPOSE
18BBA,tum
18BBB,
18BBC,
18BBD,b
18BBE,tum
18BBF,lo
18BC0,iang
18BC1,she
18BC2,
18BC3,TEXT
18BC4,
18BC5,
18BC6,go
18BC7,
18BC8,
18BC9,
18BCA,
18BCB,
18BCC,
18BCD,yo
18BCE,ón
18BCF,qi
18BD0,üen
18BD1,
18BD2,
18BD3,
18BD4,
18BD5,
18BD6,
18BD7,gu
18BD8,gu
18BD9,THREE
18BDA,THREE
18BDB,qo
18BDC,qó
18BDD,MR
18BDE,da
18BDF,uh
18BE0,uh
18BE1,eng
18BE2,as
18BE3,bú
18BE4,
18BE5,ku
18BE6,
18BE7,
18BE8,dú
18BE9,shï
18BEA,ku
18BEB,
18BEC,
18BED,
18BEE,
18BEF,
18BF0,iúng
18BF1,
18BF2,car
18BF3,car
18BF4,am
18BF5,am
18BF6,o
18BF7,
18BF8,TEN THOUSAND
18BF9,SMALL
18BFA,a
18BFB,
18BFC,
18BFD,mó
18BFE,MRS
18BFF,
18C00,
18C01,CHIEF
18C02,bu
18C03,
18C04,ah
