"Tangut definitions for Tangut block. Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, https://www.unicode.org/wg2/docs/n4724-FiveAdditionalTangut.pdf, https://www.unicode.org/wg2/docs/n4851-TangutAdditions.pdf, and https://www.unicode.org/L2/L2023/23246-wg2-n5217r2.pdf",definition,reading,possible variant or error,notes,source
17000,poison,,,,
17001,to suck,,,,
17002,strong,,,,
17003,to mate,,,,
17004,collar,,,,
17005,to undergo,,,,
17006,back of the body,,,,
17007,be able to,,,,
17008,incomplete,,,,
17009,ankle,,,,
1700A,to gather,,,,
1700B,snake,,,,
1700C,vehicle,,,,
1700D,mixed and disorderly,,,,
1700E,nearby,,,,
1700F,,,,,
17010,cold,,,,
17011,to shelter,,,,
17012,Buddhist monk,,,,
17013,to request,,,,
17014,above,,,,
17015,bride-price,,,,
17016,to rely on,,,,
17017,to melt,,,,
17018,to meet,,,,
17019,to detest,,,,
1701A,to guide,,,,
1701B,to open,,,,
1701C,then,,,,
1701D,chicken,,,,
1701E,to coagulate,,,,
1701F,to marry,,,,
17020,to integrate,,,,
17021,to be licentious,,,,
17022,to drive,,,,
17023,,,,,
17024,few,,,,
17025,egg,,,,
17026,,,,,
17027,to accuse falsely,,,,
17028,to meet,,,,
17029,to ache,,,,
1702A,peacock,,,,
1702B,to cover,,,,
1702C,completely,,,,
1702D,at last,,,,
1702E,to meet,,,,
1702F,to finish,,,,
17030,great waves,,,,
17031,to sing,,,,
17032,to pass through,,,,
17033,to attack,,,,
17034,a transliteration,,,,
17035,a kind of grass,,,,
17036,a kind of bird,,,,
17037,penis,,,,
17038,to ripple,,,,
17039,little,,,,
1703A,finger,,,,
1703B,"cun, a traditional unit of length",,,,
1703C,"a small steelyard for weighing gold, medicine and so on",,,,
1703D,to pound with a pestle,,,,
1703E,cup,,,,
1703F,tired,,,,
17040,to put (the palms together),,,,
17041,to exist,,,,
17042,wooden handcuffs,,,,
17043,to cut,,,,
17044,fatigue,,,,
17045,hand,,,,
17046,man of wealth,,,,
17047,,,,,
17048,,,,,
17049,slant,,,,
1704A,coarse,,,,
1704B,to drip,,,,
1704C,to grind,,,,
1704D,a surname,,,,
1704E,ox,,,,
1704F,to bite,,,,
17050,exhausted,,,,
17051,a surname,,,,
17052,to distend,,,,
17053,,,,,
17054,,,,,
17055,to marry,,,,
17056,to build,,,,
17057,a surname,,,,
17058,,,,,
17059,fence,,,,
1705A,,,,,
1705B,to estimate,,,,
1705C,backbone,,,,
1705D,respectful,,,,
1705E,"chi, a traditional unit of length",,,,
1705F,treasure,,,,
17060,a surname,,,,
17061,dustpan,,,,
17062,to fall,,,,
17063,careful,,,,
17064,tiger,,,,
17065,,,,,
17066,to raise,,,,
17067,to become thin,,,,
17068,the common people,,,,
17069,,,,,
1706A,a transliteration,,,,
1706B,end,,,,
1706C,a surname,,,,
1706D,to drill,,,,
1706E,meat,,,,
1706F,a surname,,,,
17070,,,,,
17071,a kind of grass,,,,
17072,hair,,,,
17073,horn,,,,
