Script,Category,Description
.Colors,Character,Colors
.Controls,Character,Control characters
.DCE,Character,DCE-specific characters
.DCE sheets,Character,DCE sheet switches
.DCE versions,Character,DCE versions
.EL Miscellaneous,Character,Ember Language miscellaneous source characters
.EL Operators,Character,Ember Language operational and syntactic characters
.EL Routines,Character,Ember Language routine and function invocation characters
.EL Syntax,Character,Ember Language syntactic framing and literal delimiters
.EL Types,Character,Ember Language type identifiers
.Emoji,Character,Emoji symbols and glyph variants
.Encapsulation,Character,Base64 and binary data encapsulation characters
.Financial,Character,Financial and currency symbols
.Mathematics,Character,Mathematical operators and notations
.Miscellaneous,Character,Miscellaneous Document Characters
.Noncharacters,Character,Noncharacters reserved for internal processing
.Punctuation,Character,Punctuation characters
.Semantic,Character,Semantic metadata and structured relationship characters
.Semantic:fileflag,Character,Semantic filesystem file attributes and flags
.Styling,Character,Text styling and presentation control characters
.Symbols,Character,Symbolic and iconographic characters
.Variant selectors,Character,Document Character variant selector characters
.Formats:arch,Format,Format category for arch
.Formats:armor,Format,Format category for armor
.Formats:base_alphabet,Format,Format category for base_alphabet
.Formats:calendar,Format,Format category for calendar
.Formats:color_depth,Format,Format category for color_depth
.Formats:compression,Format,Format category for compression
.Formats:container,Format,Format category for container
.Formats:database,Format,Format category for database
.Formats:date,Format,Format category for date
.Formats:device_caps,Format,Format category for device_caps
.Formats:document,Format,Format category for document
.Formats:duration,Format,Format category for duration
.Formats:encoding,Format,Format category for encoding
.Formats:executable,Format,Format category for executable
.Formats:filesystem,Format,Format category for filesystem
.Formats:hash,Format,Format category for hash
.Formats:identifier,Format,Format category for identifier
.Formats:kernel,Format,Format category for kernel
.Formats:language,Format,Format category for language
.Formats:libc,Format,Format category for libc
.Formats:math,Format,Format category for math
.Formats:number,Format,Format category for number
.Formats:number_abstract,Format,Format category for number_abstract
.Formats:numeral_system,Format,Format category for numeral_system
.Formats:os,Format,Format category for os
.Formats:packagemgr,Format,Format category for packagemgr
.Formats:programming,Format,Format category for programming
.Formats:semantic,Format,Format category for semantic
.Formats:transformation,Format,Format category for transformation
.Formats:userspace,Format,Format category for userspace
.Formats:userspace_libraries,Format,Format category for userspace_libraries
.Formats:userspace_utilities,Format,Format category for userspace_utilities
.Formats:v:lineEndings,Format,Format category for v:lineEndings
.Formats:v:unicodePua,Format,Format category for v:unicodePua
.Formats:videoterminal,Format,Format category for videoterminal
.Formats:virtualfilesystem,Format,Format category for virtualfilesystem
Adlam,Unicode,Unicode Standard script Adlam
Afak,Unicode,Unicode Standard script Afak
Ahom,Unicode,Unicode Standard script Ahom
Anatolian_Hieroglyphs,Unicode,Unicode Standard script Anatolian_Hieroglyphs
Arabic,Unicode,Unicode Standard script Arabic
Aran,Unicode,Unicode Standard script Aran
Armenian,Unicode,Unicode Standard script Armenian
Avestan,Unicode,Unicode Standard script Avestan
Balinese,Unicode,Unicode Standard script Balinese
Bamum,Unicode,Unicode Standard script Bamum
Bassa_Vah,Unicode,Unicode Standard script Bassa_Vah
Batak,Unicode,Unicode Standard script Batak
Bengali,Unicode,Unicode Standard script Bengali
Beria_Erfe,Unicode,Unicode Standard script Beria_Erfe
Bhaiksuki,Unicode,Unicode Standard script Bhaiksuki
Blis,Unicode,Unicode Standard script Blis
Bopomofo,Unicode,Unicode Standard script Bopomofo
Brahmi,Unicode,Unicode Standard script Brahmi
Braille,Unicode,Unicode Standard script Braille
Buginese,Unicode,Unicode Standard script Buginese
Buhid,Unicode,Unicode Standard script Buhid
Canadian_Aboriginal,Unicode,Unicode Standard script Canadian_Aboriginal
Carian,Unicode,Unicode Standard script Carian
Caucasian_Albanian,Unicode,Unicode Standard script Caucasian_Albanian
Chakma,Unicode,Unicode Standard script Chakma
Cham,Unicode,Unicode Standard script Cham
Cherokee,Unicode,Unicode Standard script Cherokee
Chorasmian,Unicode,Unicode Standard script Chorasmian
Cirt,Unicode,Unicode Standard script Cirt
Common,Unicode,Unicode Standard script Common
Coptic,Unicode,Unicode Standard script Coptic
Cuneiform,Unicode,Unicode Standard script Cuneiform
Cypriot,Unicode,Unicode Standard script Cypriot
Cypro_Minoan,Unicode,Unicode Standard script Cypro_Minoan
Cyrillic,Unicode,Unicode Standard script Cyrillic
Cyrs,Unicode,Unicode Standard script Cyrs
Deseret,Unicode,Unicode Standard script Deseret
Devanagari,Unicode,Unicode Standard script Devanagari
Dives_Akuru,Unicode,Unicode Standard script Dives_Akuru
Dogra,Unicode,Unicode Standard script Dogra
Duployan,Unicode,Unicode Standard script Duployan
