Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax, @chain",Description,"Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)",References
0,u0,<control> NULL,0,BN,,Cc,Common,"@formalAliasControl(""NULL""), @formalAliasAbbreviation(""NUL"")",,,,,,,,,,
1,u1,<control> START OF HEADING,0,BN,,Cc,Common,"@formalAliasControl(""START OF HEADING""), @formalAliasAbbreviation(""SOH"")",,,,,,,,,,
2,u2,<control> START OF TEXT,0,BN,,Cc,Common,"@formalAliasControl(""START OF TEXT""), @formalAliasAbbreviation(""STX"")",,,,,,,,,,
3,u3,<control> END OF TEXT,0,BN,,Cc,Common,"@formalAliasControl(""END OF TEXT""), @formalAliasAbbreviation(""ETX"")",,,,,,,,,,
4,u4,<control> END OF TRANSMISSION,0,BN,,Cc,Common,"@formalAliasControl(""END OF TRANSMISSION""), @formalAliasAbbreviation(""EOT"")",,,,,,,,,,
5,u5,<control> ENQUIRY,0,BN,,Cc,Common,"@formalAliasControl(""ENQUIRY""), @formalAliasAbbreviation(""ENQ"")",,,,,,,,,,
6,u6,<control> ACKNOWLEDGE,0,BN,,Cc,Common,"@formalAliasControl(""ACKNOWLEDGE""), @formalAliasAbbreviation(""ACK"")",,,,,,,,,,
7,u7,<control> BELL,0,BN,,Cc,Common,"@formalAliasControl(""ALERT""), @formalAliasAbbreviation(""BEL"")",,,,,,,,,,
8,u8,<control> BACKSPACE,0,BN,,Cc,Common,"@formalAliasControl(""BACKSPACE""), @formalAliasAbbreviation(""BS"")",,,,,,,,,,
9,u9,"<control, Unicode-semantic-defined> CHARACTER TABULATION",0,S,,Cc,Common,"@formalAliasControl(""CHARACTER TABULATION""), @formalAliasControl(""HORIZONTAL TABULATION""), @formalAliasAbbreviation(""HT""), @formalAliasAbbreviation(""TAB""), horizontal tabulation (HT)",,,,,,,,,,
10,ua,"<control, Unicode-semantic-defined> LINE FEED",0,B,,Cc,Common,"@formalAliasControl(""LINE FEED""), @formalAliasControl(""NEW LINE""), @formalAliasControl(""END OF LINE""), @formalAliasAbbreviation(""LF""), @formalAliasAbbreviation(""NL""), @formalAliasAbbreviation(""EOL""), new line (NL), end of line (EOL), <ambiguous>119 239",This is the ASCII/Unicode 10 (0x0A).,,,,,,,,,
11,ub,"<control, Unicode-semantic-defined> LINE TABULATION",0,S,,Cc,Common,"@formalAliasControl(""LINE TABULATION""), @formalAliasControl(""VERTICAL TABULATION""), @formalAliasAbbreviation(""VT""), vertical tabulation (VT), <ambiguous>257 119",Also used as a line separator by Microsoft Word and Powerpoint which use it to contrast with the character used as a paragraph separator (sources: http://stackoverflow.com/questions/3380538/what-is-a-vertical-tab http://unicode.org/reports/tr13/tr13-9.html ),,,,,,,,,
12,uc,"<control, Unicode-semantic-defined> FORM FEED",0,WS,,Cc,Common,"@formalAliasControl(""FORM FEED""), @formalAliasAbbreviation(""FF"")",,,,,,,,,,
13,ud,"<control, Unicode-semantic-defined> CARRIAGE RETURN",0,B,,Cc,Common,"@formalAliasControl(""CARRIAGE RETURN""), @formalAliasAbbreviation(""CR""), <ambiguous>119 240 294",This is the ASCII/Unicode 13 (0x0D). Used as a paragraph separator by Microsoft Word and Powerpoint (source: https://web.archive.org/web/20080325092316/http://support.microsoft.com/kb/59096).,,,,,,,,,
14,ue,<control> SHIFT OUT,0,BN,,Cc,Common,"@formalAliasControl(""SHIFT OUT""), @formalAliasControl(""LOCKING-SHIFT ONE""), @formalAliasAbbreviation(""SO""), @annotation(""known as LOCKING-SHIFT ONE in 8-bit environments"")",,,,,,,,,,
15,uf,<control> SHIFT IN,0,BN,,Cc,Common,"@formalAliasControl(""SHIFT IN""), @formalAliasControl(""LOCKING-SHIFT ZERO""), @formalAliasAbbreviation(""SI""), @annotation(""known as LOCKING-SHIFT ZERO in 8-bit environments"")",,,,,,,,,,
16,u10,<control> DATA LINK ESCAPE,0,BN,,Cc,Common,"@formalAliasControl(""DATA LINK ESCAPE""), @formalAliasAbbreviation(""DLE"")",,,,,,,,,,
17,u11,<control> DEVICE CONTROL ONE,0,BN,,Cc,Common,"@formalAliasControl(""DEVICE CONTROL ONE""), @formalAliasAbbreviation(""DC1"")",,,,,,,,,,
18,u12,<control> DEVICE CONTROL TWO,0,BN,,Cc,Common,"@formalAliasControl(""DEVICE CONTROL TWO""), @formalAliasAbbreviation(""DC2"")",,,,,,,,,,
19,u13,<control> DEVICE CONTROL THREE,0,BN,,Cc,Common,"@formalAliasControl(""DEVICE CONTROL THREE""), @formalAliasAbbreviation(""DC3"")",,,,,,,,,,
20,u14,<control> DEVICE CONTROL FOUR,0,BN,,Cc,Common,"@formalAliasControl(""DEVICE CONTROL FOUR""), @formalAliasAbbreviation(""DC4"")",,,,,,,,,,
