Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114400,288,Red,0,BN,,!Cx,Colors,,
1114401,289,Green,0,BN,,!Cx,Colors,,
1114402,290,Blue,0,BN,,!Cx,Colors,,
1114403,291,Yellow,0,BN,,!Cx,Colors,,
1114404,292,Black,0,BN,,!Cx,Colors,,
1114405,293,White,0,BN,,!Cx,Colors,,
1114580,468,Mac Classic label color: brown,0,BN,,!Cx,Colors,,
1114581,469,Mac Classic label color: green,0,BN,,!Cx,Colors,,
1114582,470,Mac Classic label color: blue,0,BN,,!Cx,Colors,,
1114583,471,Mac Classic label color: cyan,0,BN,,!Cx,Colors,,
1114584,472,Mac Classic label color: pink,0,BN,,!Cx,Colors,,
1114585,473,Mac Classic label color: red,0,BN,,!Cx,Colors,,
1114586,474,Mac Classic label color: orange,0,BN,,!Cx,Colors,,
1114587,475,Mac OS X label color: gray,0,BN,,!Cx,Colors,,
1114588,476,Mac OS X label color: green,0,BN,,!Cx,Colors,,
1114589,477,Mac OS X label color: purple,0,BN,,!Cx,Colors,,
1114590,478,Mac OS X label color: blue,0,BN,,!Cx,Colors,,
1114591,479,Mac OS X label color: yellow,0,BN,,!Cx,Colors,,
1114592,480,Mac OS X label color: red,0,BN,,!Cx,Colors,,
1114593,481,Mac OS X label color: orange,0,BN,,!Cx,Colors,,
