Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (@), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228233,9,Videoterminal,Character-mode terminal,device_caps,,.txt,,,,,,,,,"Variants: terminal, encoding",
2228234,10,Teleprinter,Character-mode teleprinter,device_caps,,.txt,,,,,,,,,"Variants: terminal, encoding. (A printer that can overstrike etc. would still be considered immutable; immutable refers to whether it can erase. Raster, postscript, etc. printers would use their respective formats rather than this one.)",
2228490,266,TerminalMouse,Character-mode videoterminal supporting mouse input,device_caps,,,,,,,,,,,,
2228491,267,TerminalGraphics,Character-mode videoterminal supporting graphics,device_caps,,,,,,,,,,,,
2228492,268,TerminalSixelGraphics,Character-mode videoterminal supporting sixel graphics,device_caps,,,,,,,,,,,,
2228493,269,TerminalIterm2Graphics,Character-mode videoterminal supporting iTerm2 graphics,device_caps,,,,,,,,,,,,
2228494,270,TerminalKittyGraphics,Character-mode videoterminal supporting Kitty graphics,device_caps,,,,,,,,,,,,
2228495,271,RasterDisplay,Raster display,device_caps,,,,,,,,,,,,
2228496,272,VectorDisplay,Vector display,device_caps,,,,,,,,,,,,
2228497,273,RenderModeImmediate,Render full document immediately without interactive features,device_caps,,,,,,,,,,,,
2228498,274,RenderModeInteractive,Render with interactive features enabled,device_caps,,,,,,,,,,,,
2228723,499,WebUi,Web-based user interface,device_caps,@base(f271),,,,,,,,,,,
2228724,500,WebView,Embedded webview display,device_caps,@base(f499),,,,,,,,,,,
2228725,501,BrowserVm,Browser virtual machine runtime,device_caps,,,,,,,,,,,,
2228726,502,V86Vm,v86 browser x86 PC emulation,device_caps,@base(f501),,,,,,,,,,,
2228727,503,Pwa,Progressive Web Application,device_caps,@base(f499),,,,,,,,,,,
2228768,544,X11Display,X11 window system,device_caps,@base(f271),,,,,,,,,,,
2228769,545,WaylandDisplay,Wayland display protocol,device_caps,@base(f271),,,,,,,,,,,
2228770,546,QuartzDisplay,Quartz compositor,device_caps,@base(f271),,,,,,,,,,,
2228771,547,Win32Display,Windows desktop windowing,device_caps,@base(f271),,,,,,,,,,,
2228772,548,HeadlessDisplay,Headless display (no display server),device_caps,,,,,,,,,,,,
2228773,549,RasterColors1bit,Raster display is able to display monochrome graphics,device_caps,@base(f555),,,,,,,,,,,
2228774,550,RasterColors24bit,Raster display is able to display “True Color” graphics,device_caps,@base(f556),,,,,,,,,,,
2228775,551,TerminalColors1bit,Terminal display is monochrome (no color),device_caps,@base(f555),,,,,,,,,,,
2228776,552,TerminalColors4bit,Terminal display supports 4-bit color (specific colors may vary),device_caps,,,,,,,,,,,,
2228777,553,TerminalColors8bit,Terminal display supports 8-bit color (specific colors may vary),device_caps,,,,,,,,,,,,
2228778,554,TerminalColors24bit,Terminal display supports 24-bit color (“True Color”),device_caps,@base(f556),,,,,,,,,,,
2228779,555,ColorDepth1bit,Monochrome color depth,color_depth,,,,,,,,,,,,
2228780,556,ColorDepth24bit,“True Color” 24-bit color,color_depth,,,,,,,,,,,,
,,IsStdinTerminal,Whether standard input is connected to interactive terminal,device_caps,,,,,,,,,,,,
,,IsStdoutTerminal,Whether standard output is connected to interactive terminal,device_caps,,,,,,,,,,,,
,,IsStderrTerminal,Whether standard error is connected to interactive terminal,device_caps,,,,,,,,,,,,
,,TerminalCanEdit,Terminal can make changes to the current line of output,device_caps,,,,,,,,,,,,
,,TerminalCanEditPastLines,"Is a videoterminal that can edit past lines, not just the current one",device_caps,,,,,,,,,,,,
,,LineModeTerminal,Line-at-a-time terminal,device_caps,,,,,,,,,,,,
,,BlockModeTerminal,Screen-at-a-time terminal,device_caps,,,,,,,,,,,,
