Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (@), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228462,238,XxHash32,xxHash32,hash,,,,,,,,,,,,
2228463,239,XxHash64,xxHash64,hash,,,,,,,,,,,,
2228464,240,XxHash3_64,xxHash3-64,hash,,,,,,,,,,,,
2228465,241,XxHash3_128,xxHash3-128,hash,,,,,,,,,,,,
2228466,242,Md5,MD5,hash,,,,,,,,,,,,
2228467,243,Md6,MD6,hash,,,,,,,,,,,,
2228468,244,Sha1,SHA-1,hash,,,,,,,,,,,,
2228469,245,Sha256,SHA-256,hash,,,,,,,,,,,,
2228470,246,Sha512,SHA-512,hash,,,,,,,,,,,,
2228471,247,Sha3,SHA-3,hash,,,,,,,,,,,,
2228472,248,Tiger,Tiger checksum,hash,,,,,,,,,,,,
2228473,249,Whirlpool,Whirlpool checksum,hash,,,,,,,,,,,,
2228474,250,Adler32,Adler32,hash,,,,,,,,,,,,
2228475,251,Fletcher4,Fletcher4,hash,,,,,,,,,,,,
2228476,252,Fletcher8,Fletcher8,hash,,,,,,,,,,,,
2228477,253,Fletcher16,Fletcher16,hash,,,,,,,,,,,,
2228478,254,Fletcher32,Fletcher32,hash,,,,,,,,,,,,
2228479,255,Crc32,CRC-321,hash,,,,,,,,,,,,
2228480,256,Cksum,`cksum`,hash,,,,,,,,,,,,
2228481,257,BsdChecksum,BSD checksum,hash,,,,,,,,,,,,
2228482,258,SysvChecksum,SYSV checksum,hash,,,,,,,,,,,,
2228483,259,Hmac,HMAC,hash,,,,,,,,,,,,
2228484,260,Blake,BLAKE,hash,,,,,,,,,,,,
2228485,261,Blake2,BLAKE2,hash,,,,,,,,,,,,
2228486,262,Blake3,BLAKE3,hash,,,,,,,,,,,,
2228686,462,FowlerNollVo,FNV (Fowler-Noll-Vo) hash,hash,,,,,,,,,,,,
2228687,463,Fnv0,FNV-0 hash,hash,@base(f462),,,,,,,,,,,
2228688,464,Fnv1,FNV-1 hash,hash,@base(f462),,,,,,,,,,,
2228689,465,Fnv1a,FNV-1a hash,hash,@base(f462),,,,,,,,,,,
2228690,466,Fnv0_32,"FNV-0 hash, 32 bits",hash,@base(f463),,,,,,,,,,,
2228691,467,Fnv0_64,"FNV-0 hash, 64 bits",hash,@base(f463),,,,,,,,,,,
2228692,468,Fnv0_128,"FNV-0 hash, 128 bits",hash,@base(f463),,,,,,,,,,,
2228693,469,Fnv0_256,"FNV-0 hash, 256 bits",hash,@base(f463),,,,,,,,,,,
2228694,470,Fnv0_512,"FNV-0 hash, 512 bits",hash,@base(f463),,,,,,,,,,,
2228695,471,Fnv0_1024,"FNV-0 hash, 1024 bits",hash,@base(f463),,,,,,,,,,,
2228696,472,Fnv1_32,"FNV-1 hash, 32 bits",hash,@base(f464),,,,,,,,,,,
2228697,473,Fnv1_64,"FNV-1 hash, 64 bits",hash,@base(f464),,,,,,,,,,,
2228698,474,Fnv1_128,"FNV-1 hash, 128 bits",hash,@base(f464),,,,,,,,,,,
2228699,475,Fnv1_256,"FNV-1 hash, 256 bits",hash,@base(f464),,,,,,,,,,,
2228700,476,Fnv1_512,"FNV-1 hash, 512 bits",hash,@base(f464),,,,,,,,,,,
2228701,477,Fnv1_1024,"FNV-1 hash, 1024 bits",hash,@base(f464),,,,,,,,,,,
2228702,478,Fnv1a_32,"FNV-1a hash, 32 bits",hash,@base(f465),,,,,,,,,,,
2228703,479,Fnv1a_64,"FNV-1a hash, 64 bits",hash,@base(f465),,,,,,,,,,,
2228704,480,Fnv1a_128,"FNV-1a hash, 128 bits",hash,@base(f465),,,,,,,,,,,
2228705,481,Fnv1a_256,"FNV-1a hash, 256 bits",hash,@base(f465),,,,,,,,,,,
2228706,482,Fnv1a_512,"FNV-1a hash, 512 bits",hash,@base(f465),,,,,,,,,,,
2228707,483,Fnv1a_1024,"FNV-1a hash, 1024 bits",hash,@base(f465),,,,,,,,,,,
