Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114114,2,Begin separator,0,BN,,!Cx,.Semantic,,Begin a DCE separator string.
1114115,3,End separator,0,BN,,!Cx,.Semantic,,End a DCE separator string.
1114116,4,Range,0,BN,,!Cx,.Semantic,,The DCE range character. Used to represent ranges in DCE. See the wiki for more information.
1114117,5,Record summation,0,BN,,!Cx,.Semantic,,Used to denote the union of two records. See the wiki for more information.
1114118,6,Begin number,0,BN,,!Cx,.Semantic,"@ident(""BeginNumber"")",Begin a DCE number.
1114119,7,End number,0,BN,,!Cx,.Semantic,"@ident(""EndNumber"")",End a DCE number.
1114120,8,Unknown value,0,BN,,!Cx,.Semantic,,Substitution character for an unknown value.
1114121,9,Gregorian calendar identifier,0,BN,,!Cx,.Formats:calendar,,Internal DCE calendar identifier for the Gregorian calendar.
1114122,10,Positive,0,BN,,!Cx,.Semantic,"@ident(""Positive"")",Positive value (syntactical representation — This is not the + character)
1114123,11,Negative,0,BN,,!Cx,.Semantic,"@ident(""Negative"")",Negative (syntactical representation — This is not the − character)
1114226,114,Begin unbounded content,0,BN,,!Cx,.Semantic,,"This denotes content that is not ""bound"" (given a context of a page, etc. to be within) — in other words it is what a plain text file is to a word processing file with page formatting — content with no context given for presenting it"
1114227,115,End unbounded content,0,BN,,!Cx,.Semantic,,
1114347,235,Begin document,0,BN,,!Cx,.Semantic,,Beginning of a document
1114348,236,End document,0,BN,,!Cx,.Semantic,,
1114410,298,Begin associativity group,0,BN,,!Cx,.Semantic,,Equivalent to an opening parenthesis in many languages or in arithmetic expressions.
1114411,299,End associativity group,0,BN,,!Cx,.Semantic,,Equivalent to a closing parenthesis in many languages or in arithmetic expressions.
1114412,300,Type union,0,BN,,!Cx,.Semantic,:~ (([type] [type]) | [list:type]),"Indicates that one or more types are all applicable to the same data. This is a conjunction of constraints (a union of descriptions); it does not mean either type as an alternative. For that, see Dc 516 “Type intersection”."
1114413,301,Type transformation,0,BN,,!Cx,.Semantic,:~ [type] [type:transformation],Describes a transformation operation as part of a type description. The first operand is the input type; the second identifies the transformation. Only transformation formats would make sense for the second operand. Describing an operation does not itself execute it.
1114414,302,Type conversion,0,BN,,!Cx,.Semantic,:~ [type] [type],Describes a conversion operation from the first operand's type to the second operand's type. Conversion may change the representation and may be lossy. Describing an operation does not itself execute it.
1114415,303,Type transmutation,0,BN,,!Cx,.Semantic,:~ [type] [type],Describes reinterpreting a representation of the first operand's type as the second operand's type without converting the representation. Describing an operation does not itself execute it.
1114429,317,Begin file,0,BN,,!Cx,.Semantic,:~ [^318]+ 318,Begins a universal file representation record.
1114430,318,End file,0,BN,,!Cx,.Semantic,,Terminates a universal file representation record.
1114431,319,Begin file identity,0,BN,,!Cx,.Semantic,:~ [^320]+ 320,Begins a file identity descriptor.
1114432,320,End file identity,0,BN,,!Cx,.Semantic,,Terminates a file identity descriptor.
1114433,321,Begin file metadata,0,BN,,!Cx,.Semantic,:~ [^322]+ 322,Begins a file metadata record.
1114434,322,End file metadata,0,BN,,!Cx,.Semantic,,Terminates a file metadata record.
1114435,323,Begin file stream,0,BN,,!Cx,.Semantic,:~ [^324]+ 324,Begins an attached or alternate data stream record.
1114436,324,End file stream,0,BN,,!Cx,.Semantic,,Terminates an attached or alternate data stream record.
1114437,325,Begin file kind description,0,BN,,!Cx,.Semantic,:~ [^326]+ 326,Begins a description of the kind of a file. Note that this is different from the data format of a file.
1114438,326,End file kind description,0,BN,,!Cx,.Semantic,,Terminates a file kind description.
1114439,327,File system node identifier,0,BN,,!Cx,.Semantic,:~ [number],Filesystem inode number or equivalent unique node ID.
1114440,328,Storage device identifier,0,BN,,!Cx,.Semantic,:~ [number],Filesystem device ID on which the file resides.
1114441,329,File modification timestamp,0,BN,,!Cx,.Semantic,:~ [date],Modification timestamp of a file in nanoseconds since Unix epoch.
1114442,330,File access timestamp,0,BN,,!Cx,.Semantic,:~ [date],Access timestamp of a file in nanoseconds since Unix epoch.
1114443,331,File creation timestamp,0,BN,,!Cx,.Semantic,:~ [date],Creation or birth timestamp of a file in nanoseconds since Unix epoch.
1114444,332,File status change timestamp,0,BN,,!Cx,.Semantic,:~ [date],Metadata status change timestamp of a file in nanoseconds since Unix epoch.
1114445,333,File permissions mode,0,BN,,!Cx,.Semantic,:~ [number],POSIX permissions mode flags.
1114446,334,File owner user identifier,0,BN,,!Cx,.Semantic,:~ [number],User ID of the file owner.
1114447,335,File owner group identifier,0,BN,,!Cx,.Semantic,:~ [number],Group ID of the file group.
1114448,336,File payload size,0,BN,,!Cx,.Semantic,:~ [number],Logical size of the primary file payload in bytes.
1114449,337,File primary path,0,BN,,!Cx,.Semantic,:~ [filepath],Primary relative or canonical path of a file entity.
1114450,338,File stream name,0,BN,,!Cx,.Semantic,:~ ([string] | [data]),Name or identifier of an alternate data stream or fork.
1114451,339,File target link path,0,BN,,!Cx,.Semantic,:~ [filepath],Target destination path for a symbolic or hard link.
1114452,340,Begin execution environment description,0,BN,,!Cx,.Semantic,:~ [number] [^341]* 341,Begins an execution environment snapshot.
1114453,341,End execution environment description,0,BN,,!Cx,.Semantic,,Terminates an execution environment snapshot.
1114454,342,Operating system description,0,BN,,!Cx,.Semantic,:~ [formats:os],Host operating system description.
1114455,343,Collective Toolbox build version,0,BN,,!Cx,.Semantic,:~ [string],Toolbox software build version string.
1114456,344,Architecture pointer bit width description,0,BN,,!Cx,.Semantic,:~ [number],Description of a pointer bit width of architecture.
