Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114113,1,!At,0,ON,,Po,Symbols,<equiv>u40,
1114133,21,!Number sign (short Dc),0,ET,,Po,Symbols,"octothorpe, hash, crosshatch, <equiv>u23",
1114135,23,!Percent,0,ET,,Po,Symbols,<equiv>u25,
1114140,28,!Asterisk (short Dc),0,ON,,Po,Symbols,"star, <equiv>u2a",
1114145,33,!Solidus (short Dc),0,CS,,Po,Symbols,"virgule, stroke, slash, <equiv>u2f",
1114189,77,!Reversed solidus,0,ON,,Po,Symbols,"backslash, <equiv>u5c",
1114191,79,!Spacing circumflex,0,ON,,Sk,Symbols,<equiv>u5e,
1114192,80,!Underscore,0,ON,,Pc,Symbols,"low line, <equiv>u5f",
1114193,81,!Spacing grave,0,ON,,Sk,Symbols,<equiv>u60,
1114221,109,!Vertical line (short Dc),0,ON,,Sm,Symbols,"vertical bar, pipe, <equiv>u7c",Glyph might use a solid or broken line. U+00A6 seems to be unambiguously broken; Unicode doesn't seem to provide an unambiguously solid one.
1114223,111,!Tilde punctuation,0,ON,,Sm,Symbols,<equiv>u7e,
1114393,281,!Association football,0,ON,,So,Symbols,"soccer ball, foot ball, <equiv>u26bd",
1114394,282,"!Association football, text style",0,ON,,So,Symbols,"<style>u26bd, <equiv>u26bd ufe0e",
1114395,283,"!Association football, emoji style",0,ON,,So,Emoji,"<style>u26bd, <equiv>u26bd ufe0f",
1114396,284,"Association football, emoji style, bouncing",0,ON,,So,Emoji,<approx>u26bd ufe0e,
1114397,285,"Association football, emoji style, rolling",0,ON,,So,Emoji,<approx>u26bd ufe0f,
1114421,309,Solid vertical line,0,ON,,Sm,Symbols,<style>u7c,Glyph variant of U+007C. Broken variant is unambiguously U+00A6.
