Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax, @chain",Description,Ident (Rust-friendly),Category,"Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)",References
2228224,f0,UTF-8,0,BN,,!Cx,Formats,@base(f7),"For “encoding” formats, the extension given should have “.txt” appended to it when it’s not being used as an option for another format (e.g. HTML). Variants: unicode versions, BOM/no BOM, line ending variants (CR/LF/CRLF/the various others floating around), PUA extensions (variant:unicodePua type).",Utf8,encoding,".txt, .utf8",,,,,1,2,1,unicodePua,
2228225,f1,Internal: Short Dc Array,0,BN,,!Cx,Formats,,"Array of short Dc ints, without a defined representation - &[u32] in Rust; an in StageL",DcArray,semantic,,,,,,-1,-1,-1,,
2228226,f2,Dc Integer List (short Dcs),0,BN,,!Cx,Formats,,"ASCII text containing list of integers representing short Dcs. Strictly, one space after every int, and no newlines. Loosely, with newlines or multiple spaces, or no end space.",DcIntegerList,document,.dcil,,,,,2,3,1,,
2228227,f3,Printable ASCII,0,BN,,!Cx,Formats,,"ASCII with no control characters. Variants: Line ending variants allowed for *reading*, but only CR/LF/CRLF, and all of them mean unambiguous CR+LF (=EOL), and should be interpreted as such on import and emitted as such on export, thus preserving line-endings by requiring non-CRLF to be stored using a higher-level protocol (e.g. base64ing the content and using this as an ASCII armor format only). How useful this format is is debateable.",AsciiSafeSubset,encoding,".txt, .ascii",,,,,3,3,1,,
2228228,f4,ASCII,0,BN,,!Cx,Formats,,7-bit ASCII. Variants: Line ending variants,Ascii,encoding,".txt, .ascii",,,,,3,3,1,lineEndings,
2228229,f5,HTML,0,BN,,!Cx,Formats,,,Html,document,".htm, .html",,,,,,1,1,encoding,
2228230,f6,SEMS (short Dcs),0,BN,,!Cx,Formats,,"Space-separated list of ints representing short Dcs, with comments. Comments are UTF-8. Strictly, one space after every int, valid UTF-8 comments only, and a final newline.",Sems,document,.sems,,,,,2,,1,,
2228231,f7,Unicode,0,BN,,!Cx,Formats,,Array of ints representing Unicode characters. Might include things that aren’t valid unicode.,Unicode,semantic,,,,,,-1,-1,-1,,
2228232,f8,VT100,0,BN,,!Cx,Formats,@base(f9),Terminal format is an option for text files; when exporting would get the extension format: [terminal].[encoding].txt for example: vt100.utf8.txt,Vt100,videoterminal,.vt100,,,,,,,,,
2228233,f9,Character-mode terminal,0,BN,,!Cx,Formats,,"Variants: terminal, encoding",Videoterminal,device_caps,.txt,,,,,,,,,
2228234,f10,Character-mode teleprinter,0,BN,,!Cx,Formats,,"Variants: terminal, encoding. (A printer that can overstrike etc. would still be considered immutable; immutable refers to whether it can erase. Raster, postscript, etc. printers would use their respective formats rather than this one.)",Teleprinter,device_caps,.txt,,,,,,,,,
2228235,f11,Dc in Unicode,0,BN,,!Cx,Formats,@base(f7),unicodePua = extension to Unicode using the Private Use Areas,DcBasenb,v:unicodePua,.dcbnb,,,,,,,,,
2228236,f12,BaseNb family,0,BN,,!Cx,Formats,@base(f57),"data = format that can hold generic binary data (or at least, generic sequences of bytes; not all formats support generic numbers of bits).",BaseNb,armor,.basenb,,,,,,,,,
2228237,f13,HTML fragment,0,BN,,!Cx,Formats,,Variants: same as HTML,HtmlFragment,document,.htmfrag,,,,,,1,1,,
2228238,f14,Text,0,BN,,!Cx,Formats,,HTML and text both should default to UTF8 as the default encoding. Encodings fill a somewhat odd role since they are both encodings and formats (with the text format plus a given encoding being the same thing as that encoding by itself).,Text,document,.txt,,,,,,,,encoding,
2228239,f15,English,0,BN,,!Cx,Formats,,"Most formats have language variant types, for printing structured metadata where it’s not supported. Whether it should be printed by default is debateable.",Lang_En,language,~\.en\.~,,,,,,1,,,
2228240,f16,English (US),0,BN,,!Cx,Formats,@base(f15),"Language variants aren’t handled as format variants of the languages they are variants of, since there aren’t tons of possible combinations (at least that are practical to support). Instead, the type is given as lv: followed by the language identifier of which they are a variant (without the lang_ prefix).",Lang_En_Us,language,~\.en-US\.~,,,,,,,,,
2228241,f17,EITE Language in ASCII documents (ELAD),0,BN,,!Cx,Formats,,,Elad,document,.elad,,,,,,1,,,
2228242,f18,JavaScript,0,BN,,!Cx,Formats,,"Programming languages are both formats on their own account, and variants of other formats: for exporting to a text-based format, you could opt to have programmatic Dcs exported to a programming language or a natlang.",JavaScript,programming,.js,,,,,,,,,
2228243,f19,Semantic Dcs to text,0,BN,,!Cx,Formats,,“transformation” types operate on documents stored as arrays of Dcs.,SemanticToText,transformation,,,,,,1,,,,
2228244,f20,Programmatic Dcs to text,0,BN,,!Cx,Formats,,,CodeToText,transformation,,,,,,1,,,,
2228245,f21,Color-coded HTML integer list,0,BN,,!Cx,Formats,,HTML file containing color-coded Dc integer list,EiteColorCoded,document,.htm,,,,,,1,,,
2228246,f22,Lines terminated by LF,0,BN,,!Cx,Formats,,U+000A after each line including the final line. Traditionally associated with POSIX. Character encoding is specified separately.,LineEndingLf,v:lineEndings,,,,,,,,,,
2228247,f23,Lines terminated by CR,0,BN,,!Cx,Formats,,U+000D after each line including the final line. Traditionally associated with classic Mac OS. Character encoding is specified separately.,LineEndingCr,v:lineEndings,,,,,,,,,,
2228248,f24,Lines terminated by CRLF,0,BN,,!Cx,Formats,,U+000D U+000A after each line including the final line. Traditionally associated with Windows. Character encoding is specified separately.,LineEndingCrLf,v:lineEndings,,,,,,,,,,
2228249,f25,Lines terminated by LFCR,0,BN,,!Cx,Formats,,U+000A U+000D after each line including the final line. Traditionally associated with Acorn/RISC systems. Character encoding is specified separately.,LineEndingLfCr,v:lineEndings,,,,,,,,,,
2228250,f26,Lines terminated by RS,0,BN,,!Cx,Formats,,U+001E after each line including the final line. Traditionally associated with QNX. Character encoding is specified separately.,LineEndingRs,v:lineEndings,,,,,,,,,,
2228251,f27,Lines terminated by NL (NEL),0,BN,,!Cx,Formats,,U+0085 after each line including the final line. Traditionally associated with EBCDIC/IBM. Character encoding is specified separately; NEL is not a fixed byte value across encodings.,LineEndingNl,v:lineEndings,,,,,,,,,,
2228252,f28,Lines separated by LF,0,BN,,!Cx,Formats,,U+000A between lines. A trailing separator introduces a final empty line. Character encoding is specified separately.,LineSeparatorLf,v:lineEndings,,,,,,,,,,
2228253,f29,Lines separated by CR,0,BN,,!Cx,Formats,,U+000D between lines. A trailing separator introduces a final empty line. Character encoding is specified separately.,LineSeparatorCr,v:lineEndings,,,,,,,,,,
2228254,f30,Lines separated by CRLF,0,BN,,!Cx,Formats,,U+000D U+000A between lines. A trailing separator introduces a final empty line. Character encoding is specified separately.,LineSeparatorCrLf,v:lineEndings,,,,,,,,,,
2228255,f31,Lines separated by LFCR,0,BN,,!Cx,Formats,,U+000A U+000D between lines. A trailing separator introduces a final empty line. Character encoding is specified separately.,LineSeparatorLfCr,v:lineEndings,,,,,,,,,,
2228256,f32,Lines separated by RS,0,BN,,!Cx,Formats,,U+001E between lines. A trailing separator introduces a final empty line. Character encoding is specified separately.,LineSeparatorRs,v:lineEndings,,,,,,,,,,
2228257,f33,Lines separated by NL (NEL),0,BN,,!Cx,Formats,,U+0085 between lines. A trailing separator introduces a final empty line. Character encoding is specified separately; NEL is not a fixed byte value across encodings.,LineSeparatorNl,v:lineEndings,,,,,,,,,,
2228258,f34,Brotli compression (RFC 9841),0,BN,,!Cx,Formats,,,Brotli,compression,.br,,,,"brotli, br",,,,,
2228259,f35,GNU gzip compression (RFC 1952),0,BN,,!Cx,Formats,,,Gzip,compression,.gz,,,,"gzip, gz",,,,,
2228260,f36,"Deflate compression (RFC 1591), raw",0,BN,,!Cx,Formats,,,Deflate,compression,.deflate,,,,"deflate, raw-deflate",,,,,
2228261,f37,Zlib compression (RFC 1950) (wrapped Deflate),0,BN,,!Cx,Formats,,,Zlib,compression,".zz, .zl",,,,"zlib, zz, zl, zlib-deflate",,,,,
2228262,f38,Bzip2 compression,0,BN,,!Cx,Formats,,,Bzip2,compression,.bz2,,,,"bzip2, bz2",,,,,
2228263,f39,Original bzip compression,0,BN,,!Cx,Formats,,,Bzip,compression,.bz,,,,bz,,,,,
2228264,f40,Zstandard compression,0,BN,,!Cx,Formats,,,Zstd,compression,".zst, .zstd",,,,"zstd, zst",,,,,
2228265,f41,Lzip compression,0,BN,,!Cx,Formats,,,Lzip,compression,.lz,,,,"lz, lzip",,,,,
2228266,f42,XZ compression,0,BN,,!Cx,Formats,,,Xz,compression,.xz,,,,"xz, xzip",,,,,
2228267,f43,compress`: SCO `compress -H` format,0,BN,,!Cx,Formats,,,ScoCompress,compression,.Z,,,,"sco, sco-compress, compress-sco, compress-h",,,,,
2228268,f44,"`compress` format, modern LZW block format",0,BN,,!Cx,Formats,,,CompressLzw,compression,.Z,,,,"compress, compress4, compress3, compress-4.0, compress-3.0",,,,,
2228269,f45,`compress` 1.0 (LZW headerless format),0,BN,,!Cx,Formats,,,CompressLzw1,compression,.Z,,,,"compress1, compress-1.0",,,,,
2228270,f46,`compress` 1.6 (LZW sorted chain format),0,BN,,!Cx,Formats,,,CompressLzw16,compression,.Z,,,,"compress16, compress1.6, compress-1.6, lzw-sorted-chain",,,,,
2228271,f47,`compress` 2.0 (LZW non-block format),0,BN,,!Cx,Formats,,,CompressLzw2,compression,.Z,,,,"compress2, compress-2.0",,,,,
2228272,f48,"`pack` format, common version (Huffman)",0,BN,,!Cx,Formats,,,Pack,compression,.z,,,,pack,,,,,
2228273,f49,"`pack` format, early PDP-11 Unix binary tree",0,BN,,!Cx,Formats,,,OldPack,compression,.z,,,,"oldpack, old-pack, early-pack",,,,,
2228274,f50,`compact` (McMaster Adaptive Huffman),0,BN,,!Cx,Formats,,,Compact,compression,.C,,,,compact,,,,,
2228275,f51,Data encoded using an alphabet,0,BN,,!Cx,Formats,,,BaseString,armor,,,,,,,,,,
2228276,f52,The standard Base64 encoding (RFC 4648),0,BN,,!Cx,Formats,@base(f51),,Base64Standard,armor,".b64, .base64",,,,,,,,,
2228277,f53,"Hexadecimal bytes, lowercase (output) or case-insensitive (input)",0,BN,,!Cx,Formats,@base(f51),"Continuous hex-encoded byte stream. When output, without separators (e.g. deadbeef for 4 bytes)",HexByteString,armor,.hex,,,,,,,,,
2228278,f54,"Hexadecimal bytes, lowercase (output) or case-insensitive (input), prefixed with 0x",0,BN,,!Cx,Formats,@base(f53),,HexByteStrings0xPrefix,armor,,,,,,,,,,
2228279,f55,Plain hexdump format,0,BN,,!Cx,Formats,@base(f308),,HexdumpPlain,armor,,,,,,,,,,
2228280,f56,Fancy hexdump format used in ctoolbox web UI,0,BN,,!Cx,Formats,@base(f308),,HexdumpFancy437,armor,,,,,,,,,,
2228281,f57,Modified Base16b family,0,BN,,!Cx,Formats,@base(f51),,Base16b,armor,,,,,,,,,,
2228282,f58,"Base16b, base 7",0,BN,,!Cx,Formats,@base(f57),,Base16b_7,armor,,,,,,,,,,
2228283,f59,"Base16b, base 8",0,BN,,!Cx,Formats,@base(f57),,Base16b_8,armor,,,,,,,,,,
2228284,f60,"Base16b, base 9",0,BN,,!Cx,Formats,@base(f57),,Base16b_9,armor,,,,,,,,,,
2228285,f61,"Base16b, base 10",0,BN,,!Cx,Formats,@base(f57),,Base16b_10,armor,,,,,,,,,,
2228286,f62,"Base16b, base 11",0,BN,,!Cx,Formats,@base(f57),,Base16b_11,armor,,,,,,,,,,
2228287,f63,"Base16b, base 12",0,BN,,!Cx,Formats,@base(f57),,Base16b_12,armor,,,,,,,,,,
2228288,f64,"Base16b, base 13",0,BN,,!Cx,Formats,@base(f57),,Base16b_13,armor,,,,,,,,,,
2228289,f65,"Base16b, base 14",0,BN,,!Cx,Formats,@base(f57),,Base16b_14,armor,,,,,,,,,,
2228290,f66,"Base16b, base 15",0,BN,,!Cx,Formats,@base(f57),,Base16b_15,armor,,,,,,,,,,
2228291,f67,"Base16b, base 16",0,BN,,!Cx,Formats,@base(f57),,Base16b_16,armor,,,,,,,,,,
2228292,f68,"Base16b, base 17",0,BN,,!Cx,Formats,@base(f57),,Base16b_17,armor,,,,,,,,,,
2228293,f69,"BaseNb, base 7",0,BN,,!Cx,Formats,@base(f12),,BaseNb_7,armor,,,,,,,,,,
2228294,f70,"BaseNb, base 8",0,BN,,!Cx,Formats,@base(f12),,BaseNb_8,armor,,,,,,,,,,
2228295,f71,"BaseNb, base 9",0,BN,,!Cx,Formats,@base(f12),,BaseNb_9,armor,,,,,,,,,,
