Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114112,0,Null,0,BN,,Cc,Controls,,,
1114113,1,At,0,ON,,Po,Symbols,,,
1114114,2,Begin separator,0,BN,,!Cx,Semantic,,Begin a DCE separator string.,
1114115,3,End separator,0,BN,,!Cx,Semantic,,End a DCE separator string.,
1114116,4,Range,0,BN,,!Cx,Semantic,,The DCE range character. Used to represent ranges in DCE. See the wiki for more information.,
1114117,5,Record summation,0,BN,,!Cx,Semantic,,Used to denote the union of two records. See the wiki for more information.,
1114118,6,Begin number,0,BN,,!Cx,Semantic,,Begin a DCE number.,
1114119,7,End number,0,BN,,!Cx,Semantic,,End a DCE number.,
1114120,8,Unknown value,0,BN,,!Cx,Semantic,,Substitution character for an unknown value.,
1114121,9,Gregorian calendar identifier,0,BN,,!Cx,Semantic,,Internal DCE calendar identifier for the Gregorian calendar.,
1114122,10,Positive,0,BN,,!Cx,Semantic,,Positive value (syntactical representation — This is not the + character),
1114123,11,Negative,0,BN,,!Cx,Semantic,,Negative (syntactical representation — This is not the − character),
1114124,12,Decimal point,0,ON,,Sm,Mathematics,"dot, point, >32",,
1114125,13,Full drop back,0,BN,,!Cx,DCE,,Drop back to the core sheet (no meaning in EDF),
1114126,14,Drop back,0,BN,,!Cx,DCE,,Drop back to the enclosing sheet (no meaning in EDF),
1114127,15,Begin DCE content,0,BN,,!Cx,DCE,,Begins a DCE region (no meaning in EDF),
1114128,16,DCE Version Selectors,0,BN,,!Cx,DCE sheets,,,
1114129,17,No mapping,0,BN,,Cn,Noncharacters,,Processing use only (not for interchange),
1114130,18,Space,0,WS,,Zs,Punctuation,word separator,"Sometimes used as a visible word separator, e.g. in Anoej",
1114131,19,Exclamation,0,ON,,Po,Punctuation,,,
1114132,20,Double quotation mark,0,ON,,Po,Punctuation,,,
1114133,21,Number sign,0,ET,,Po,Symbols,"octothorpe, hash, crosshatch",,
1114134,22,Dollar,0,ET,,Sc,Financial,,,
1114135,23,Percent,0,ET,,Po,Symbols,,,
1114136,24,And,0,ON,,Po,Punctuation,,,
1114137,25,Apostrophe,0,ON,,Po,Punctuation,,,
1114138,26,Left parenthesis,0,ON,,Ps,Punctuation,left bracket,,
1114139,27,Right parenthesis,0,ON,,Pe,Punctuation,right bracket,,
