Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114112,0,Null,0,BN,,Cc,Controls,,
1114228,116,Backspace,0,BN,,Cc,Controls,,
1114305,193,Form feed,0,WS,,Cc,Controls,,
1114320,208,Start of heading,0,BN,,Cc,Controls,,
1114321,209,Start of text,0,BN,,Cc,Controls,,
1114322,210,End of text,0,BN,,Cc,Controls,,
1114323,211,End of transmission,0,BN,,Cc,Controls,,
1114324,212,Enquiry,0,BN,,Cc,Controls,,
1114325,213,Acknowledge,0,BN,,Cc,Controls,,
1114326,214,Bell,0,BN,,Cc,Controls,,
1114327,215,Shift out,0,BN,,Cc,Controls,,
1114328,216,Shift in,0,BN,,Cc,Controls,,
1114329,217,Data link escape,0,BN,,Cc,Controls,,
1114330,218,Device control one,0,BN,,Cc,Controls,"xon, resume transmission",
1114331,219,Device control two,0,BN,,Cc,Controls,,
1114332,220,Device control three,0,BN,,Cc,Controls,"xoff, pause transmission",
1114333,221,Device control four,0,BN,,Cc,Controls,,
1114334,222,Negative acknowledge,0,BN,,Cc,Controls,,
1114335,223,Synchronous idle,0,BN,,Cc,Controls,,
1114336,224,End of transmission block,0,BN,,Cc,Controls,,
1114337,225,Cancel,0,BN,,Cc,Controls,,
1114338,226,End of medium,0,BN,,Cc,Controls,,
1114339,227,Substitute,0,BN,,Cc,Controls,,
1114340,228,Escape,0,BN,,Cc,Controls,,
1114341,229,Information separator four,0,B,,Cc,Controls,,
1114342,230,Information separator three,0,B,,Cc,Controls,,
1114343,231,Information separator two,0,B,,Cc,Controls,,
1114344,232,Information separator one,0,S,,Cc,Controls,,
1114346,234,Delete,0,BN,,Cc,Controls,,
