Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114125,13,Full drop back,0,BN,,!Cx,DCE,,Drop back to the core sheet (no meaning in EDF),
1114126,14,Drop back,0,BN,,!Cx,DCE,,Drop back to the enclosing sheet (no meaning in EDF),
1114127,15,Begin DCE content,0,BN,,!Cx,DCE,,Begins a DCE region (no meaning in EDF),
1114128,16,DCE Version Selectors,0,BN,,!Cx,DCE sheets,,,
1114224,112,DCE Version Selector 3.0a,0,BN,,!Cx,DCE versions,,,
1114225,113,End DCE content,0,BN,,!Cx,DCE,,,
1114306,194,DCE Version Selector 3.01a,0,BN,,!Cx,DCE versions,,,
1114308,196,Variant Selectors,0,BN,,!Cx,DCE sheets,,,
1114309,197,Semantic Records,0,BN,,!Cx,DCE sheets,,,
1114310,198,Mathematics,0,BN,,!Cx,DCE sheets,,,
1114311,199,Punctuation and Whitespace,0,BN,,!Cx,DCE sheets,,,
1114317,205,DCE Version Selector 3.03a,0,BN,,!Cx,DCE versions,,,
