Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114239,127,Base 64 encapsulation digit 0,0,BN,,!Cx,Encapsulation,,
1114240,128,Base 64 encapsulation digit 1,0,BN,,!Cx,Encapsulation,,
1114241,129,Base 64 encapsulation digit 2,0,BN,,!Cx,Encapsulation,,
1114242,130,Base 64 encapsulation digit 3,0,BN,,!Cx,Encapsulation,,
1114243,131,Base 64 encapsulation digit 4,0,BN,,!Cx,Encapsulation,,
1114244,132,Base 64 encapsulation digit 5,0,BN,,!Cx,Encapsulation,,
1114245,133,Base 64 encapsulation digit 6,0,BN,,!Cx,Encapsulation,,
1114246,134,Base 64 encapsulation digit 7,0,BN,,!Cx,Encapsulation,,
1114247,135,Base 64 encapsulation digit 8,0,BN,,!Cx,Encapsulation,,
1114248,136,Base 64 encapsulation digit 9,0,BN,,!Cx,Encapsulation,,
1114249,137,Base 64 encapsulation digit 10,0,BN,,!Cx,Encapsulation,,
1114250,138,Base 64 encapsulation digit 11,0,BN,,!Cx,Encapsulation,,
1114251,139,Base 64 encapsulation digit 12,0,BN,,!Cx,Encapsulation,,
1114252,140,Base 64 encapsulation digit 13,0,BN,,!Cx,Encapsulation,,
1114253,141,Base 64 encapsulation digit 14,0,BN,,!Cx,Encapsulation,,
1114254,142,Base 64 encapsulation digit 15,0,BN,,!Cx,Encapsulation,,
1114255,143,Base 64 encapsulation digit 16,0,BN,,!Cx,Encapsulation,,
1114256,144,Base 64 encapsulation digit 17,0,BN,,!Cx,Encapsulation,,
1114257,145,Base 64 encapsulation digit 18,0,BN,,!Cx,Encapsulation,,
1114258,146,Base 64 encapsulation digit 19,0,BN,,!Cx,Encapsulation,,
1114259,147,Base 64 encapsulation digit 20,0,BN,,!Cx,Encapsulation,,
1114260,148,Base 64 encapsulation digit 21,0,BN,,!Cx,Encapsulation,,
1114261,149,Base 64 encapsulation digit 22,0,BN,,!Cx,Encapsulation,,
1114262,150,Base 64 encapsulation digit 23,0,BN,,!Cx,Encapsulation,,
1114263,151,Base 64 encapsulation digit 24,0,BN,,!Cx,Encapsulation,,
1114264,152,Base 64 encapsulation digit 25,0,BN,,!Cx,Encapsulation,,
1114265,153,Base 64 encapsulation digit 26,0,BN,,!Cx,Encapsulation,,
1114266,154,Base 64 encapsulation digit 27,0,BN,,!Cx,Encapsulation,,
1114267,155,Base 64 encapsulation digit 28,0,BN,,!Cx,Encapsulation,,
1114268,156,Base 64 encapsulation digit 29,0,BN,,!Cx,Encapsulation,,
1114269,157,Base 64 encapsulation digit 30,0,BN,,!Cx,Encapsulation,,
1114270,158,Base 64 encapsulation digit 31,0,BN,,!Cx,Encapsulation,,
1114271,159,Base 64 encapsulation digit 32,0,BN,,!Cx,Encapsulation,,
1114272,160,Base 64 encapsulation digit 33,0,BN,,!Cx,Encapsulation,,
1114273,161,Base 64 encapsulation digit 34,0,BN,,!Cx,Encapsulation,,
1114274,162,Base 64 encapsulation digit 35,0,BN,,!Cx,Encapsulation,,
1114275,163,Base 64 encapsulation digit 36,0,BN,,!Cx,Encapsulation,,
1114276,164,Base 64 encapsulation digit 37,0,BN,,!Cx,Encapsulation,,
1114277,165,Base 64 encapsulation digit 38,0,BN,,!Cx,Encapsulation,,
