ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
50,Latin Letter Uppercase A,0,L,82,Lu,Latin,,,
51,Latin Letter Uppercase B,0,L,83,Lu,Latin,,,
52,Latin Letter Uppercase C,0,L,84,Lu,Latin,,,
53,Latin Letter Uppercase D,0,L,85,Lu,Latin,,,
54,Latin Letter Uppercase E,0,L,86,Lu,Latin,,,
55,Latin Letter Uppercase F,0,L,87,Lu,Latin,,,
56,Latin Letter Uppercase G,0,L,88,Lu,Latin,,,
57,Latin Letter Uppercase H,0,L,89,Lu,Latin,,,
58,Latin Letter Uppercase I,0,L,90,Lu,Latin,,Special casing considerations for Turkish,
59,Latin Letter Uppercase J,0,L,91,Lu,Latin,,,
60,Latin Letter Uppercase K,0,L,92,Lu,Latin,,,
61,Latin Letter Uppercase L,0,L,93,Lu,Latin,,,
62,Latin Letter Uppercase M,0,L,94,Lu,Latin,,,
63,Latin Letter Uppercase N,0,L,95,Lu,Latin,,,
64,Latin Letter Uppercase O,0,L,96,Lu,Latin,,,
65,Latin Letter Uppercase P,0,L,97,Lu,Latin,,,
66,Latin Letter Uppercase Q,0,L,98,Lu,Latin,,,
67,Latin Letter Uppercase R,0,L,99,Lu,Latin,,,
68,Latin Letter Uppercase S,0,L,100,Lu,Latin,,,
69,Latin Letter Uppercase T,0,L,101,Lu,Latin,,,
70,Latin Letter Uppercase U,0,L,102,Lu,Latin,,,
71,Latin Letter Uppercase V,0,L,103,Lu,Latin,,,
72,Latin Letter Uppercase W,0,L,104,Lu,Latin,,,
73,Latin Letter Uppercase X,0,L,105,Lu,Latin,,,
74,Latin Letter Uppercase Y,0,L,106,Lu,Latin,,,
75,Latin Letter Uppercase Z,0,L,107,Lu,Latin,,,
82,Latin Letter Lowercase A,0,L,50,Ll,Latin,,,
83,Latin Letter Lowercase B,0,L,51,Ll,Latin,,,
84,Latin Letter Lowercase C,0,L,52,Ll,Latin,,,
85,Latin Letter Lowercase D,0,L,53,Ll,Latin,,,
86,Latin Letter Lowercase E,0,L,54,Ll,Latin,,,
87,Latin Letter Lowercase F,0,L,55,Ll,Latin,,,
88,Latin Letter Lowercase G,0,L,56,Ll,Latin,,,
89,Latin Letter Lowercase H,0,L,57,Ll,Latin,,,
90,Latin Letter Lowercase I,0,L,58,Ll,Latin,,Special casing considerations for Turkish,
91,Latin Letter Lowercase J,0,L,59,Ll,Latin,,,
92,Latin Letter Lowercase K,0,L,60,Ll,Latin,,,
93,Latin Letter Lowercase L,0,L,61,Ll,Latin,,,
94,Latin Letter Lowercase M,0,L,62,Ll,Latin,,,
95,Latin Letter Lowercase N,0,L,63,Ll,Latin,,,
96,Latin Letter Lowercase O,0,L,64,Ll,Latin,,,
97,Latin Letter Lowercase P,0,L,65,Ll,Latin,,,
98,Latin Letter Lowercase Q,0,L,66,Ll,Latin,,,
99,Latin Letter Lowercase R,0,L,67,Ll,Latin,,,
100,Latin Letter Lowercase S,0,L,68,Ll,Latin,,,
101,Latin Letter Lowercase T,0,L,69,Ll,Latin,,,
102,Latin Letter Lowercase U,0,L,70,Ll,Latin,,,
103,Latin Letter Lowercase V,0,L,71,Ll,Latin,,,
104,Latin Letter Lowercase W,0,L,72,Ll,Latin,,,
105,Latin Letter Lowercase X,0,L,73,Ll,Latin,,,
106,Latin Letter Lowercase Y,0,L,74,Ll,Latin,,,
107,Latin Letter Lowercase Z,0,L,75,Ll,Latin,,,
