ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
18,Space,0,WS,,Zs,Punctuation,word separator,"Sometimes used as a visible word separator, e.g. in Anoej",
19,Exclamation,0,ON,,Po,Punctuation,,,
20,Double quotation mark,0,ON,,Po,Punctuation,,,
24,And,0,ON,,Po,Punctuation,,,
25,Apostrophe,0,ON,,Po,Punctuation,,,
26,Left parenthesis,0,ON,,Ps,Punctuation,left bracket,,
27,Right parenthesis,0,ON,,Pe,Punctuation,right bracket,,
30,Comma,0,CS,,Po,Punctuation,,,
31,Hyphen,0,ES,,Pd,Punctuation,,,
32,Full stop,0,CS,,Po,Punctuation,period,,
44,Colon,0,CS,,Po,Punctuation,,,
45,Semicolon,0,ON,,Po,Punctuation,,,
49,Question,0,ON,,Po,Punctuation,,,
76,Left bracket,0,ON,,Ps,Punctuation,left square bracket,,
78,Right bracket,0,ON,,Pe,Punctuation,right square bracket,,
108,Left brace,0,ON,,Ps,Punctuation,left curly bracket,,
110,Right brace,0,ON,,Pe,Punctuation,right curly bracket,,
117,Horizontal tabulation,0,BN,,Cc,Punctuation,"character tabulation, tab",,
118,Ambiguous vertical tabulation,0,BN,,Cc,Punctuation,<ambiguous>257 119,Also used as a line separator by Microsoft Word and Powerpoint which use it to contrast with the character used as a paragraph separator (sources: http://stackoverflow.com/questions/3380538/what-is-a-vertical-tab http://unicode.org/reports/tr13/tr13-9.html ),
119,New line,0,B,,Cc,Punctuation,"line feed, end of line,<equiv>240 239","This is the Unicode U+0085. May semantically indicate a new paragraph. To indicate unambiguously a new line without a new paragraph, use 295 New line within paragraph. To indicate unambiguously a new paragraph, use 294 Paragraph separator.",
120,Ambiguous line feed,0,B,,Cc,Punctuation,<ambiguous>119 239,This is the ASCII/Unicode 10 (0x0A).,
121,Ambiguous carriage return,0,B,,Cc,Punctuation,<ambiguous>119 240 294,This is the ASCII/Unicode 13 (0x0D). Used as a paragraph separator by Microsoft Word and Powerpoint (source: https://web.archive.org/web/20080325092316/http://support.microsoft.com/kb/59096).,
233,Hyphen-minus,0,ES,,Pd,Punctuation,<ambiguous>31 237,,
238,Full stop/decimal point,0,CS,,Po,Punctuation,<ambiguous>12 32,,
239,Line feed,0,B,,Cc,Punctuation,,"This character instructs a terminal to move the cursor to the beginning of the line horizontally without advancing to the next line vertically. This character is not directly equivalent to ASCII line feed, because that is sometimes used for a combined new line and carriage return. For representing the ASCII line feed, use Dc 120.",
240,Carriage return,0,B,,Cc,Punctuation,,"This character instructs a terminal to advance to the next line vertically without moving the cursor to the beginning of the line horizontally. This character is not directly equivalent to ASCII carriage return, because that is sometimes used for a combined new line and carriage return. For representing the ASCII carriage return, use Dc 121.",
257,Vertical tabulation,0,BN,,Cc,Punctuation,line tabulation,,
294,New line within paragraph,0,WS,,Zl,Punctuation,,"This is the Unicode U+2028. It refers to a non-paragraph-separator newline, usually within a paragraph.",
295,Paragraph separator,0,B,,Zp,Punctuation,,This is the Unicode U+2029.,
