ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1,At,0,ON,,Po,Symbols,,,
21,Number sign,0,ET,,Po,Symbols,"octothorpe, hash, crosshatch",,
23,Percent,0,ET,,Po,Symbols,,,
28,Asterisk,0,ON,,Po,Symbols,star,,
33,Solidus,0,CS,,Po,Symbols,"virgule, stroke, slash",,
77,Reversed solidus,0,ON,,Po,Symbols,backslash,,
79,Spacing circumflex,0,ON,,Sk,Symbols,,,
80,Underscore,0,ON,,Pc,Symbols,low line,,
81,Spacing grave,0,ON,,Sk,Symbols,,,
109,Vertical line,0,ON,,Sm,Symbols,"vertical bar, pipe",,
111,Tilde punctuation,0,ON,,Sm,Symbols,,,
281,Association football,0,ON,,So,Symbols,"soccer ball, foot ball",,
282,"Association football, text style",0,ON,,So,Symbols,<style>281,,
