0020 0021 0404 2116 003B 0025 003F 0454 0028 0029 002A 002B 0431 002D 044E 002E
0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 0416 0436 0411 003D 042E 002C
0022 0424 0418 0421 0412 0423 0410 041F 0420 0428 041E 041B 0414 042C 0422 0429
0417 0419 041A 0406 0415 0413 041C 0426 0427 041D 042F 0445 0491 0457 003A 005F
0027 0444 0438 0441 0432 0443 0430 043F 0440 0448 043E 043B 0434 044C 0442 0449
0437 0439 043A 0456 0435 0433 043C 0446 0447 043D 044F 0425 0490 0407 02BC 2190
20AC 00AC 201A 0192 201E 2026 2020 2021 02C6 2030 0160 2039 0152 03A6 017D 03A0
2035 2018 2019 201C 201D 2022 2013 2014 02DC 2122 0161 203A 0153 03C0 017E 0178
00A0 00A1 00A2 00A3 00A4 00A5 00A6 00A7 00A8 00A9 00AA 00AB 00AC 00AD 00AE 00AF
00B0 00B1 00B2 00B3 00B4 00B5 00B6 00B7 00B8 00B9 00BA 00BB 00BC 00BD 00BE 00BF
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 00CB 00CC 00CD 00CE 00CF
00D0 00D1 00D2 00D3 00D4 00D5 00D6 00D7 00D8 00D9 00DA 00DB 00DC 00DD 00DE 00DF
00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 00EC 00ED 00EE 00EF
00F0 00F1 00F2 00F3 00F4 00F5 00F6 00F7 00F8 00F9 00FA 00FB 00FC 00FD 00FE 00FF
