0000A,NewLine;
000A0,nbsp
000A0,nbsp;
000A0,NonBreakingSpace;
000A1,iexcl
000A1,iexcl;
000A2,cent
000A2,cent;
000A3,pound
000A3,pound;
000A4,curren
000A4,curren;
000A5,yen
000A5,yen;
000A6,brvbar
000A6,brvbar;
000A7,sect
000A7,sect;
000A8,die;
000A8,Dot;
000A8,DoubleDot;
000A8,uml
000A8,uml;
000A9,copy
000A9,COPY
000A9,copy;
000A9,COPY;
000AA,ordf
000AA,ordf;
000AB,laquo
000AB,laquo;
000AC,not
000AC,not;
000AD,shy
000AD,shy;
000AE,circledR;
000AE,reg
000AE,REG
000AE,reg;
000AE,REG;
000AF,macr
000AF,macr;
000AF,strns;
000B0,deg
000B0,deg;
000B1,PlusMinus;
000B1,plusmn
000B1,plusmn;
000B1,pm;
000B2,sup2
000B2,sup2;
000B3,sup3
000B3,sup3;
000B4,acute
000B4,acute;
000B4,DiacriticalAcute;
000B5,micro
000B5,micro;
000B6,para
000B6,para;
000B7,centerdot;
000B7,CenterDot;
000B7,middot
000B7,middot;
000B8,cedil
000B8,cedil;
000B8,Cedilla;
000B9,sup1
000B9,sup1;
000BA,ordm
000BA,ordm;
000BB,raquo
000BB,raquo;
000BC,frac14
000BC,frac14;
000BD,frac12
000BD,frac12;
000BD,half;
000BE,frac34
000BE,frac34;
000BF,iquest
000BF,iquest;
000C0,Agrave
000C0,Agrave;
000C1,Aacute
000C1,Aacute;
000C2,Acirc
000C2,Acirc;
000C3,Atilde
000C3,Atilde;
000C4,Auml
000C4,Auml;
000C5,angst;
000C5,Aring
000C5,Aring;
000C6,AElig
000C6,AElig;
000C7,Ccedil
000C7,Ccedil;
000C8,Egrave
000C8,Egrave;
000C9,Eacute
000C9,Eacute;
000CA,Ecirc
000CA,Ecirc;
000CB,Euml
000CB,Euml;
000CC,Igrave
000CC,Igrave;
000CD,Iacute
000CD,Iacute;
000CE,Icirc
000CE,Icirc;
000CF,Iuml
000CF,Iuml;
000D0,ETH
000D0,ETH;
000D1,Ntilde
000D1,Ntilde;
000D2,Ograve
000D2,Ograve;
000D3,Oacute
000D3,Oacute;
000D4,Ocirc
000D4,Ocirc;
000D5,Otilde
000D5,Otilde;
000D6,Ouml
000D6,Ouml;
000D7,times
000D7,times;
000D8,Oslash
000D8,Oslash;
000D9,Ugrave
000D9,Ugrave;
000DA,Uacute
000DA,Uacute;
000DB,Ucirc
000DB,Ucirc;
000DC,Uuml
000DC,Uuml;
000DD,Yacute
000DD,Yacute;
000DE,THORN
000DE,THORN;
000DF,szlig
000DF,szlig;
000E0,agrave
000E0,agrave;
000E1,aacute
000E1,aacute;
000E2,acirc
000E2,acirc;
000E3,atilde
000E3,atilde;
000E4,auml
000E4,auml;
000E5,aring
000E5,aring;
000E6,aelig
000E6,aelig;
000E7,ccedil
000E7,ccedil;
000E8,egrave
000E8,egrave;
000E9,eacute
000E9,eacute;
000EA,ecirc
000EA,ecirc;
000EB,euml
000EB,euml;
000EC,igrave
000EC,igrave;
000ED,iacute
000ED,iacute;
000EE,icirc
000EE,icirc;
000EF,iuml
000EF,iuml;
000F0,eth
000F0,eth;
000F1,ntilde
000F1,ntilde;
000F2,ograve
000F2,ograve;
000F3,oacute
000F3,oacute;
000F4,ocirc
000F4,ocirc;
000F5,otilde
000F5,otilde;
000F6,ouml
000F6,ouml;
000F7,div;
000F7,divide
000F7,divide;
000F8,oslash
000F8,oslash;
000F9,ugrave
000F9,ugrave;
000FA,uacute
000FA,uacute;
000FB,ucirc
000FB,ucirc;
0FB00,fflig;
0FB01,filig;
0FB02,fllig;
0FB03,ffilig;
0FB04,ffllig;
000FC,uuml
000FC,uuml;
000FD,yacute
000FD,yacute;
000FE,thorn
000FE,thorn;
000FF,yuml
000FF,yuml;
001B5,imped;
1D4A2,Gscr;
1D4A5,Jscr;
1D4A6,Kscr;
1D4A9,Nscr;
1D4AA,Oscr;
1D4AB,Pscr;
1D4AC,Qscr;
1D4AE,Sscr;
1D4AF,Tscr;
1D4B0,Uscr;
1D4B1,Vscr;
1D4B2,Wscr;
1D4B3,Xscr;
1D4B4,Yscr;
1D4B5,Zscr;
1D4B6,ascr;
1D4B7,bscr;
1D4B8,cscr;
1D4B9,dscr;
1D4BB,fscr;
1D4BD,hscr;
1D4BE,iscr;
1D4BF,jscr;
1D4C0,kscr;
1D4C1,lscr;
1D4C2,mscr;
1D4C3,nscr;
1D4C5,pscr;
1D4C6,qscr;
1D4C7,rscr;
1D4C8,sscr;
1D4C9,tscr;
1D4CA,uscr;
1D4CB,vscr;
1D4CC,wscr;
1D4CD,xscr;
1D4CE,yscr;
1D4CF,zscr;
1D49C,Ascr;
1D49E,Cscr;
1D49F,Dscr;
1D50A,Gfr;
1D50D,Jfr;
1D50E,Kfr;
1D50F,Lfr;
1D51A,Wfr;
1D51B,Xfr;
1D51C,Yfr;
1D51E,afr;
1D51F,bfr;
1D52A,mfr;
1D52B,nfr;
1D52C,ofr;
1D52D,pfr;
1D52E,qfr;
1D52F,rfr;
1D53B,Dopf;
1D53C,Eopf;
1D53D,Fopf;
1D53E,Gopf;
1D54A,Sopf;
1D54B,Topf;
1D54C,Uopf;
1D54D,Vopf;
1D54E,Wopf;
1D54F,Xopf;
1D55A,iopf;
1D55B,jopf;
1D55C,kopf;
1D55D,lopf;
1D55E,mopf;
1D55F,nopf;
1D56A,yopf;
1D56B,zopf;
1D504,Afr;
1D505,Bfr;
1D507,Dfr;
1D508,Efr;
1D509,Ffr;
1D510,Mfr;
1D511,Nfr;
1D512,Ofr;
1D513,Pfr;
1D514,Qfr;
1D516,Sfr;
1D517,Tfr;
1D518,Ufr;
1D519,Vfr;
1D520,cfr;
1D521,dfr;
1D522,efr;
1D523,ffr;
1D524,gfr;
1D525,hfr;
1D526,ifr;
1D527,jfr;
1D528,kfr;
1D529,lfr;
1D530,sfr;
1D531,tfr;
1D532,ufr;
1D533,vfr;
1D534,wfr;
1D535,xfr;
1D536,yfr;
1D537,zfr;
1D538,Aopf;
1D539,Bopf;
1D540,Iopf;
1D541,Jopf;
1D542,Kopf;
1D543,Lopf;
1D544,Mopf;
1D546,Oopf;
1D550,Yopf;
1D552,aopf;
1D553,bopf;
1D554,copf;
1D555,dopf;
1D556,eopf;
1D557,fopf;
1D558,gopf;
1D559,hopf;
1D560,oopf;
1D561,popf;
1D562,qopf;
1D563,ropf;
1D564,sopf;
1D565,topf;
1D566,uopf;
1D567,vopf;
1D568,wopf;
1D569,xopf;
001F5,gacute;
0002A,ast;
0002A,midast;
02A00,bigodot;
02A00,xodot;
02A0C,iiiint;
02A0C,qint;
02A0D,fpartint;
02A01,bigoplus;
02A01,xoplus;
02A02,bigotimes;
02A02,xotime;
02A2A,minusdu;
02A2D,loplus;
02A2E,roplus;
02A2F,Cross;
02A3A,triminus;
02A3B,tritime;
02A3C,intprod;
02A3C,iprod;
02A3F,amalg;
02A04,biguplus;
02A04,xuplus;
02A4A,cupcup;
02A4B,capcap;
02A4C,ccups;
02A4D,ccaps;
02A5A,andv;
02A5B,orv;
02A5C,andd;
02A5D,ord;
02A5F,wedbar;
02A06,bigsqcup;
02A06,xsqcup;
02A6A,simdot;
02A6D 00338,ncongdot;
02A6D,congdot;
02A6E,easter;
02A6F,apacir;
02A7A,gtcir;
02A7B,ltquest;
02A7C,gtquest;
02A7D 00338,nleqslant;
02A7D 00338,nles;
02A7D 00338,NotLessSlantEqual;
02A7D,leqslant;
02A7D,les;
02A7D,LessSlantEqual;
02A7E 00338,ngeqslant;
02A7E 00338,nges;
02A7E 00338,NotGreaterSlantEqual;
02A7E,geqslant;
02A7E,ges;
02A7E,GreaterSlantEqual;
02A7F,lesdot;
02A8A,gnap;
02A8A,gnapprox;
02A8B,lEg;
02A8B,lesseqqgtr;
02A8C,gEl;
02A8C,gtreqqless;
02A8D,lsime;
02A8E,gsime;
02A8F,lsimg;
02A9A,eg;
02A9D,siml;
02A9E,simg;
02A9F,simlE;
02A10,cirfnint;
02A11,awint;
02A12,rppolint;
02A13,scpolint;
02A14,npolint;
02A15,pointint;
02A16,quatint;
02A17,intlarhk;
02A22,pluscir;
02A23,plusacir;
02A24,simplus;
02A25,plusdu;
02A26,plussim;
02A27,plustwo;
02A29,mcomma;
02A30,timesd;
02A31,timesbar;
02A33,smashp;
02A34,lotimes;
02A35,rotimes;
02A36,otimesas;
02A37,Otimes;
02A38,odiv;
02A39,triplus;
02A40,capdot;
02A42,ncup;
02A43,ncap;
02A44,capand;
02A45,cupor;
02A46,cupcap;
02A47,capcup;
02A48,cupbrcap;
02A49,capbrcup;
02A50,ccupssm;
02A53,And;
02A54,Or;
02A55,andand;
02A56,oror;
02A57,orslope;
02A58,andslope;
02A66,sdote;
02A70 00338,napE;
02A70,apE;
02A71,eplus;
02A72,pluse;
02A73,Esim;
02A74,Colone;
02A75,Equal;
02A77,ddotseq;
02A77,eDDot;
02A78,equivDD;
02A79,ltcir;
02A80,gesdot;
02A81,lesdoto;
02A82,gesdoto;
02A83,lesdotor;
02A84,gesdotol;
02A85,lap;
02A85,lessapprox;
02A86,gap;
02A86,gtrapprox;
02A87,lne;
02A87,lneq;
02A88,gne;
02A88,gneq;
02A89,lnap;
02A89,lnapprox;
02A90,gsiml;
02A91,lgE;
02A92,glE;
02A93,lesges;
02A94,gesles;
02A95,els;
02A95,eqslantless;
02A96,egs;
02A96,eqslantgtr;
02A97,elsdot;
02A98,egsdot;
02A99,el;
02AA0,simgE;
02AA1 00338,NotNestedLessLess;
02AA1,LessLess;
02AA2 00338,NotNestedGreaterGreater;
02AA2,GreaterGreater;
02AA4,glj;
02AA5,gla;
02AA6,ltcc;
02AA7,gtcc;
02AA8,lescc;
02AA9,gescc;
02AAA,smt;
02AAB,lat;
02AAC 0FE00,smtes;
02AAC,smte;
02AAD 0FE00,lates;
02AAD,late;
02AAE,bumpE;
02AAF 00338,NotPrecedesEqual;
02AAF 00338,npre;
02AAF 00338,npreceq;
02AAF,pre;
02AAF,PrecedesEqual;
02AAF,preceq;
02AB0 00338,NotSucceedsEqual;
02AB0 00338,nsce;
02AB0 00338,nsucceq;
02AB0,sce;
02AB0,SucceedsEqual;
02AB0,succeq;
02AB3,prE;
02AB4,scE;
02AB5,precneqq;
02AB5,prnE;
02AB6,scnE;
02AB6,succneqq;
02AB7,prap;
02AB7,precapprox;
02AB8,scap;
02AB8,succapprox;
02AB9,precnapprox;
02AB9,prnap;
02ABA,scnap;
02ABA,succnapprox;
02ABB,Pr;
02ABC,Sc;
02ABD,subdot;
02ABE,supdot;
02ABF,subplus;
