ID,Ident (Rust-friendly),Label,Category,"Layer (Semantic, Serialization, Armor, Compression, Container)","MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Apple Uniform Type Identifier (UTI),Apple Type code,Magic,Nicknames (short names for uses like CLI arguments),BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
0,Utf8,UTF-8,encoding,serialization,,".txt, .utf8",,,,,Unicode,1,2,1,unicodePua,"For “encoding” formats, the extension given should have “.txt” appended to it when it’s not being used as an option for another format (e.g. HTML). Variants: unicode versions, BOM/no BOM, line ending variants (CR/LF/CRLF/the various others floating around), PUA extensions (variant:unicodePua type).",
1,DcArray,Internal: Classic Dc Array,semantic,semantic,,,,,,,,-1,-1,-1,,"Array of classic Dc ints, without a defined repreresentation - &[u32] in Rust; an in StageL",
2,DcIntegerList,Dc Integer List,document,serialization,,.dcil,,,,,,2,3,1,,"ASCII text containing list of integers representing Dcs. Strictly, one space after every int, and no newlines. Loosely, with newlines or multiple spaces, or no end space.",
3,AsciiSafeSubset,Printable ASCII,encoding,serialization,,".txt, .ascii",,,,,,3,3,1,,"ASCII with no control characters. Variants: Line ending variants allowed for *reading*, but only CR/LF/CRLF, and all of them mean unambiguous CR+LF (=EOL), and should be interpreted as such on import and emitted as such on export, thus preserving line-endings by requiring non-CRLF to be stored using a higher-level protocol (e.g. base64ing the content and using this as an ASCII armor format only). How useful this format is is debateable.",
4,Ascii,ASCII,encoding,,,".txt, .ascii",,,,,,3,3,1,lineEndings,7-bit ASCII. Variants: Line ending variants,
5,Html,HTML,document,,,".htm, .html",,,,,,,1,1,encoding,,
6,Sems,SEMS,document,,,.sems,,,,,,2,,1,,"Space-separated list of ints representing Dcs, with comments. Comments are UTF-8. Strictly, one space after every int, valid UTF-8 comments only, and a final newline.",
7,Unicode,Unicode,semantic,semantic,,,,,,,,-1,-1,-1,,Array of ints representing Unicode characters. Might include things that aren’t valid unicode.,
8,Vt100,VT100,videoterminal,,,.vt100,,,,,Videoterminal,,,,,Terminal format is an option for text files; when exporting would get the extension format: [terminal].[encoding].txt for example: vt100.utf8.txt,
9,Videoterminal,Character-mode terminal,device_caps,,,.txt,,,,,,,,,,"Variants: terminal, encoding",
10,Teleprinter,Character-mode teleprinter,device_caps,,,.txt,,,,,,,,,,"Variants: terminal, encoding. (A printer that can overstrike etc. would still be considered immutable; immutable refers to whether it can erase. Raster, postscript, etc. printers would use their respective formats rather than this one.)",
11,DcBasenb,Dc in Unicode,v:unicodePua,,,.dcbnb,,,,,Unicode,,,,,unicodePua = extension to Unicode using the Private Use Areas,
12,BaseNb,BaseNb family,armor,,,.basenb,,,,,Unknown,,,,,"data = format that can hold generic binary data (or at least, generic sequences of bytes; not all formats support generic numbers of bits).",
