Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (=), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228224,0,Utf8,UTF-8,encoding,Unicode,".txt, .utf8",,,,,1,2,1,unicodePua,"For “encoding” formats, the extension given should have “.txt” appended to it when it’s not being used as an option for another format (e.g. HTML). Variants: unicode versions, BOM/no BOM, line ending variants (CR/LF/CRLF/the various others floating around), PUA extensions (variant:unicodePua type).",
2228225,1,DcArray,Internal: Classic Dc Array,semantic,,,,,,,-1,-1,-1,,"Array of classic (short) Dc ints, without a defined repreresentation - &[u32] in Rust; an in StageL",
2228226,2,DcIntegerList,Dc Integer List,document,,.dcil,,,,,2,3,1,,"ASCII text containing list of integers representing classic Dcs. Strictly, one space after every int, and no newlines. Loosely, with newlines or multiple spaces, or no end space.",
2228227,3,AsciiSafeSubset,Printable ASCII,encoding,,".txt, .ascii",,,,,3,3,1,,"ASCII with no control characters. Variants: Line ending variants allowed for *reading*, but only CR/LF/CRLF, and all of them mean unambiguous CR+LF (=EOL), and should be interpreted as such on import and emitted as such on export, thus preserving line-endings by requiring non-CRLF to be stored using a higher-level protocol (e.g. base64ing the content and using this as an ASCII armor format only). How useful this format is is debateable.",
2228228,4,Ascii,ASCII,encoding,,".txt, .ascii",,,,,3,3,1,lineEndings,7-bit ASCII. Variants: Line ending variants,
2228229,5,Html,HTML,document,,".htm, .html",,,,,,1,1,encoding,,
2228230,6,Sems,SEMS,document,,.sems,,,,,2,,1,,"Space-separated list of ints representing classic Dcs, with comments. Comments are UTF-8. Strictly, one space after every int, valid UTF-8 comments only, and a final newline.",
2228231,7,Unicode,Unicode,semantic,,,,,,,-1,-1,-1,,Array of ints representing Unicode characters. Might include things that aren’t valid unicode.,
2228232,8,Vt100,VT100,videoterminal,Videoterminal,.vt100,,,,,,,,,Terminal format is an option for text files; when exporting would get the extension format: [terminal].[encoding].txt for example: vt100.utf8.txt,
2228233,9,Videoterminal,Character-mode terminal,device_caps,,.txt,,,,,,,,,"Variants: terminal, encoding",
2228234,10,Teleprinter,Character-mode teleprinter,device_caps,,.txt,,,,,,,,,"Variants: terminal, encoding. (A printer that can overstrike etc. would still be considered immutable; immutable refers to whether it can erase. Raster, postscript, etc. printers would use their respective formats rather than this one.)",
2228235,11,DcBasenb,Dc in Unicode,v:unicodePua,Unicode,.dcbnb,,,,,,,,,unicodePua = extension to Unicode using the Private Use Areas,
2228236,12,BaseNb,BaseNb family,armor,Base16b,.basenb,,,,,,,,,"data = format that can hold generic binary data (or at least, generic sequences of bytes; not all formats support generic numbers of bits).",
2228237,13,HtmlFragment,HTML fragment,document,,.htmfrag,,,,,,1,1,,Variants: same as HTML,
2228238,14,Text,Text,document,,.txt,,,,,,,,encoding,HTML and text both should default to UTF8 as the default encoding. Encodings fill a somewhat odd role since they are both encodings and formats (with the text format plus a given encoding being the same thing as that encoding by itself).,
2228239,15,Lang_En,English,language,,~\.en\.~,,,,,,1,,,"Most formats have language variant types, for printing structured metadata where it’s not supported. Whether it should be printed by default is debateable.",
2228240,16,Lang_En_Us,English (US),language,Lang_En,~\.en-US\.~,,,,,,,,,"Language variants aren’t handled as format variants of the languages they are variants of, since there aren’t tons of possible combinations (at least that are practical to support). Instead, the type is given as lv: followed by the language identifier of which they are a variant (without the lang_ prefix).",
2228241,17,Elad,EITE Language in ASCII documents (ELAD),document,,.elad,,,,,,1,,,,
2228242,18,JavaScript,JavaScript,programming,,.js,,,,,,,,,"Programming languages are both formats on their own account, and variants of other formats: for exporting to a text-based format, you could opt to have programmatic Dcs exported to a programming language or a natlang.",
2228243,19,SemanticToText,Semantic Dcs to text,transformation,,,,,,,1,,,,“transformation” types operate on documents stored as arrays of Dcs.,
2228244,20,CodeToText,Programmatic Dcs to text,transformation,,,,,,,1,,,,,
2228245,21,EiteColorCoded,Color-coded HTML integer list,document,,.htm,,,,,,1,,,HTML file containing color-coded Dc integer list,
2228246,22,LineEndingLf,Lines terminated by LF. POSIX,v:lineEndings,,,,,,,,,,,,
2228247,23,LineEndingCr,"Lines terminated by CR, which (TBD: separate or terminated?) is used by Mac (traditional)",v:lineEndings,,,,,,,,,,,,
2228248,24,LineEndingCrLf,"Lines terminated by CRLF, which (TBD: separate or terminated?) is used by Windows",v:lineEndings,,,,,,,,,,,,
2228249,25,LineEndingLfCr,"Lines terminated by LFCR, which (TBD: separate or terminated?) is used by Acorn; RISC",v:lineEndings,,,,,,,,,,,,
2228250,26,LineEndingRs,"Lines terminated by RS, which (TBD: separate or terminated?) is used by QNX (traditional)",v:lineEndings,,,,,,,,,,,,
2228251,27,LineEndingNl,"Lines terminated by NL (NEL), which (TBD: separate or terminated?) is used by EBCDIC/IBM",v:lineEndings,,,,,,,,,,,,
2228252,28,LineSeparatorLf,Lines separated by LF,v:lineEndings,,,,,,,,,,,,
2228253,29,LineSeparatorCr,Lines separated by CR,v:lineEndings,,,,,,,,,,,,
2228254,30,LineSeparatorCrLf,Lines separated by CRLF,v:lineEndings,,,,,,,,,,,,
2228255,31,LineSeparatorLfCr,Lines separated by LFCR,v:lineEndings,,,,,,,,,,,,
2228256,32,LineSeparatorRs,Lines separated by RS,v:lineEndings,,,,,,,,,,,,
2228257,33,LineSeparatorNl,Lines separated by NL (NEL),v:lineEndings,,,,,,,,,,,,
2228258,34,Brotli,Brotli compression (RFC 9841),compression,,.br,,,,"brotli, br",,,,,,
2228259,35,Gzip,GNU gzip compression (RFC 1952),compression,,.gz,,,,"gzip, gz",,,,,,
2228260,36,Deflate,"Deflate compression (RFC 1591), raw",compression,,.deflate,,,,"deflate, raw-deflate",,,,,,
2228261,37,Zlib,Zlib compression (RFC 1950) (wrapped Deflate),compression,,".zz, .zl",,,,"zlib, zz, zl, zlib-deflate",,,,,,
2228262,38,Bzip2,Bzip2 compression,compression,,.bz2,,,,"bzip2, bz2",,,,,,
2228263,39,Bzip,Original bzip compression,compression,,.bz,,,,bz,,,,,,
2228264,40,Zstd,Zstandard compression,compression,,".zst, .zstd",,,,"zstd, zst",,,,,,
2228265,41,Lzip,Lzip compression,compression,,.lz,,,,"lz, lzip",,,,,,
2228266,42,Xz,XZ compression,compression,,.xz,,,,"xz, xzip",,,,,,
2228267,43,ScoCompress,compress`: SCO `compress -H` format,compression,,.Z,,,,"sco, sco-compress, compress-sco, compress-h",,,,,,
2228268,44,CompressLzw,"`compress` format, modern LZW block format",compression,,.Z,,,,"compress, compress4, compress3, compress-4.0, compress-3.0",,,,,,
2228269,45,CompressLzw1,`compress` 1.0 (LZW headerless format),compression,,.Z,,,,"compress1, compress-1.0",,,,,,
2228270,46,CompressLzw16,`compress` 1.6 (LZW sorted chain format),compression,,.Z,,,,"compress16, compress1.6, compress-1.6, lzw-sorted-chain",,,,,,
2228271,47,CompressLzw2,`compress` 2.0 (LZW non-block format),compression,,.Z,,,,"compress2, compress-2.0",,,,,,
2228272,48,Pack,"`pack` format, common version (Huffman)",compression,,.z,,,,pack,,,,,,
2228273,49,OldPack,"`pack` format, early PDP-11 Unix binary tree",compression,,.z,,,,"oldpack, old-pack, early-pack",,,,,,
2228274,50,Compact,`compact` (McMaster Adaptive Huffman),compression,,.C,,,,compact,,,,,,
2228275,51,BaseString,Data encoded using an alphabet,armor,,,,,,,,,,,,
2228276,52,Base64Standard,The standard Base64 encoding (RFC 4648),armor,BaseString,".b64, .base64",,,,,,,,,,
2228277,53,HexByteString,"Hexadecimal bytes, lowercase (output) or case-insensitive (input)",armor,BaseString,.hex,,,,,,,,,"Continuous hex-encoded byte stream. When output, without separators (e.g. deadbeef for 4 bytes)",
2228278,54,HexByteStrings0xPrefix,"Hexadecimal bytes, lowercase (output) or case-insensitive (input), prefixed with 0x",armor,HexByteString,,,,,,,,,,,
2228279,55,HexdumpPlain,Plain hexdump format,armor,Hexdump,,,,,,,,,,,
2228280,56,HexdumpFancy437,Fancy hexdump format used in ctoolbox web UI,armor,Hexdump,,,,,,,,,,,
2228281,57,Base16b,Modified Base16b family,armor,BaseString,,,,,,,,,,,
2228282,58,Base16b_7,"Base16b, base 7",armor,Base16b,,,,,,,,,,,
2228283,59,Base16b_8,"Base16b, base 8",armor,Base16b,,,,,,,,,,,
2228284,60,Base16b_9,"Base16b, base 9",armor,Base16b,,,,,,,,,,,
2228285,61,Base16b_10,"Base16b, base 10",armor,Base16b,,,,,,,,,,,
2228286,62,Base16b_11,"Base16b, base 11",armor,Base16b,,,,,,,,,,,
2228287,63,Base16b_12,"Base16b, base 12",armor,Base16b,,,,,,,,,,,
2228288,64,Base16b_13,"Base16b, base 13",armor,Base16b,,,,,,,,,,,
2228289,65,Base16b_14,"Base16b, base 14",armor,Base16b,,,,,,,,,,,
2228290,66,Base16b_15,"Base16b, base 15",armor,Base16b,,,,,,,,,,,
2228291,67,Base16b_16,"Base16b, base 16",armor,Base16b,,,,,,,,,,,
2228292,68,Base16b_17,"Base16b, base 17",armor,Base16b,,,,,,,,,,,
2228293,69,BaseNb_7,"BaseNb, base 7",armor,BaseNb,,,,,,,,,,,
2228294,70,BaseNb_8,"BaseNb, base 8",armor,BaseNb,,,,,,,,,,,
2228295,71,BaseNb_9,"BaseNb, base 9",armor,BaseNb,,,,,,,,,,,
2228296,72,BaseNb_10,"BaseNb, base 10",armor,BaseNb,,,,,,,,,,,
2228297,73,BaseNb_11,"BaseNb, base 11",armor,BaseNb,,,,,,,,,,,
2228298,74,BaseNb_12,"BaseNb, base 12",armor,BaseNb,,,,,,,,,,,
2228299,75,BaseNb_13,"BaseNb, base 13",armor,BaseNb,,,,,,,,,,,
2228300,76,BaseNb_14,"BaseNb, base 14",armor,BaseNb,,,,,,,,,,,
2228301,77,BaseNb_15,"BaseNb, base 15",armor,BaseNb,,,,,,,,,,,
2228302,78,BaseNb_16,"BaseNb, base 16",armor,BaseNb,,,,,,,,,,,
2228303,79,BaseNb_17,"BaseNb, base 17",armor,BaseNb,,,,,,,,,,,
2228304,80,String,String,semantic,,,,,,,,,,,,
2228305,81,CString,C string (null-terminated),document,String,,,,,,,,,,,
2228306,82,PascalString,Pascal string,document,String,,,,,,,,,,,
2228307,83,Ucs2,UCS-2,encoding,Unicode,,,,,,,,,,,
2228308,84,Wtf8,WTF-8,encoding,Unicode,,,,,,,,,,,
2228309,85,Utf32_BE,"UTF-32, big-endian",encoding,Unicode,,,,,,,,,,,
2228310,86,Cp437,Code page 437 (CCSID 437),encoding,,,,,,,,,,,,
2228311,87,MacRoman,MacRoman,encoding,,,,,,,,,,,,
2228312,88,DcText,DcText,document,,,,,,,,,,,,
2228313,89,DcUtf,DcUtf,document,,,,,,,,,,,,
2228314,90,DcList,DcList,document,,,,,,,,,,,,
2228315,91,DcBasenbFragment,DcBasenb Fragment,v:unicodePua,DcBasenb,,,,,,,,,,,
2228316,92,Cdce,CDCE,document,,,,,,,,,,,,
2228317,93,CdceLegacy,CDCE (legacy),document,,,,,,,,,,,,
2228318,94,CdceLegacyStrict,"CDCE (legacy, strict)",document,,,,,,,,,,,,
2228319,95,Dce,DCE (automatic version selection),document,,,,,,,,,,,,
2228320,96,DceHex,DCE (hex-encoded),document,,,,,,,,,,,,
2228321,97,Dce_3_0a,DCE 3.0a,document,,,,,,,,,,,,
2228322,98,Dce_3_0a_raw,DCE 3.0a (raw),document,,,,,,,,,,,,
2228323,99,Dce_3_0a_hex,DCE 3.0a (hex-encoded),document,,,,,,,,,,,,
2228324,100,Dce_3_0a_raw_hex,DCE 3.0a (raw hex-encoded),document,,,,,,,,,,,,
2228325,101,Dce_3_0a_old,DCE 3.0a (old translator),document,,,,,,,,,,,,
2228326,102,Dce2txt,dce2txt,document,,,,,,,,,,,,
2228327,103,Dce2hex,dce2hex,document,,,,,,,,,,,,
2228328,104,Hex2dce,hex2dce,document,,,,,,,,,,,,
2228329,105,Dce_3_01a,DCE 3.01a,document,Dce,,,,,,,,,,,
2228330,106,Dce_3_01a_raw,DCE 3.01a (raw),document,Dce_3_01a,,,,,,,,,,,
2228331,107,Dce_3_01a_hex,DCE 3.01a (hex-encoded),document,Dce_3_01a & Hexadecimal,,,,,,,,,,,
2228332,108,Dce_3_01a_raw_hex,DCE 3.01a (raw hex-encoded),document,Dce_3_01a_raw & Hexadecimal,,,,,,,,,,,
2228333,109,DcIdList,Dc ID list (ASCII),document,,,,,,,,,,,Is this the same thing as dcil?,
2228334,110,Utf8_Base64,UTF-8 (Base64-encoded),encoding,Utf8 & Base64,,,,,,,,,,Not really a unique format; it's a chain of UTF-8 within base64. Entered separately because it's separate in dceutils.,
2228335,111,Utf8_Dc64,"UTF-8 (Base64-encoded, ASCII Dc ID list)",document,,,,,,,,,,,,
2228336,112,Utf8_Dc64_enc,"UTF-8 (Base64-encoded, ASCII Dc ID list; with headers)",document,,,,,,,,,,,,
2228337,113,Utf8_Dc64_bin,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding)",document,,,,,,,,,,,,
2228338,114,Utf8_Dc64_bin_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; hex-encoded)",document,,,,,,,,,,,,
2228339,115,Utf8_Dc64_bin_enc,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers)",document,,,,,,,,,,,,
2228340,116,Utf8_Dc64_bin_enc_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers; hex-encoded)",document,,,,,,,,,,,,
2228341,117,HtmlLegacyCdce,HTML (legacy CDCE output),document,,,,,,,,,,,,
2228342,118,HtmlLegacyCdceSnippet,HTML (snippet) (legacy CDCE output),document,,,,,,,,,,,,
2228343,119,AppleScript,AppleScript,programming,,,,,,,,,,,,
2228344,120,TypeScript,TypeScript,programming,,,,,,,,,,,,
2228345,121,Perl,Perl,programming,,,,,,,,,,,,
2228346,122,Bash,Bash,programming,,,,,,,,,,,,
2228347,123,C,C,programming,,,,,,"c, csrc",,,,,,
2228348,124,Cpp,C++,programming,,,,,,,,,,,,
2228349,125,Cs,C#,programming,,,,,,,,,,,,
2228350,126,Java,Java,programming,,,,,,,,,,,,
2228351,127,Perl5,Perl 5,programming,Perl,,,,,,,,,,,
2228352,128,Perl6,Perl 6 (quite different from earlier Perl versions),programming,,,,,,,,,,,,
2228353,129,Raku,Raku (successor of Perl 6),programming,Perl6,,,,,,,,,,,
2228354,130,Rust,Rust,programming,,,,,,,,,,,,
2228355,131,Php,PHP,programming,,,,,,,,,,,,
2228356,132,Sh,POSIX sh,programming,,,,,,,,,,,,
2228357,133,StageL,StageL,programming,,.stagel,,,,,,,,,,
2228358,134,StageLParseResult,StageL parse result,programming,,,,,,,,,,,,
2228359,135,Elf,ELF (Executable and Linkable Format),executable,,", .axf, .bin, .elf, .o, .out, .prx, .puff, .ko, .mod, .so, .AppImage",,,,,,,,,,
2228360,136,Pe,PE (Portable Executable),executable,,".exe, .com, .dll, .sys, .acm, .ax, .cpl, .drv, .efi, .ime, .mui, .ocx, .scr, .tsp, .msstyles",,,,,,,,,,
2228361,137,MachO,Mach-O (Mach object),executable,,", .o, .dylib, .kext",,,,,,,,,,
2228362,138,DebianPackage,Debian package,executable,,.deb,,,,,,,,,,
2228363,139,Lang_Ar,Arabic - العربية,language,,,,,,,,,,,,
2228364,140,Lang_Bn,Bengali - বাংলা,language,,,,,,,,,,,,
2228365,141,Lang_De,German - Deutsch,language,,,,,,,,,,,,
2228366,142,Lang_En_Gb,English (UK),language,Lang_En,,,,,,,,,,,
2228367,143,Lang_Es,Spanish - Español,language,,,,,,,,,,,,
2228368,144,Lang_Fa,Farsi - فارسی,language,,,,,,,,,,,,
2228369,145,Lang_Fil,Filipino,language,,,,,,,,,,,,
2228370,146,Lang_Fr,French - Français,language,,,,,,,,,,,,
2228371,147,Lang_Hi,Hindi - हिन्दी,language,,,,,,,,,,,,
2228372,148,Lang_Id,Indonesian - Bahasa Indonesia,language,,,,,,,,,,,,
2228373,149,Lang_It,Italian - Italiano,language,,,,,,,,,,,,
2228374,150,Lang_Ja,Japanese - 日本語,language,,,,,,,,,,,,
2228375,151,Lang_Ko,Korean - 한국어,language,,,,,,,,,,,,
2228376,152,Lang_Nl,Dutch - Nederlands,language,,,,,,,,,,,,
2228377,153,Lang_Pl,Polish - Polski,language,,,,,,,,,,,,
2228378,154,Lang_Pt,Portuguese - Português,language,,,,,,,,,,,,
2228379,155,Lang_Pt_Br,Brasilian Portuguese - Português (Brasil),language,Lang_Pt,,,,,,,,,,,
2228380,156,Lang_Ru,Russian - Русский,language,,,,,,,,,,,,
2228381,157,Lang_Tr,Turkish - Türkçe,language,,,,,,,,,,,,
2228382,158,Lang_Ur,Urdu - اردو,language,,,,,,,,,,,,
