Dc,Short,Ident (Rust-friendly),Label,Category,"MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228236,12,BaseNb,BaseNb family,armor,,.basenb,,,,Base16b,,,,,"data = format that can hold generic binary data (or at least, generic sequences of bytes; not all formats support generic numbers of bits).",
2228276,52,Base64Standard,The standard Base64 encoding (RFC 4648),armor,,".b64, .base64",,,,BaseString,,,,,,
2228277,53,HexByteString,"Hexadecimal bytes, lowercase (output) or case-insensitive (input)",armor,,.hex,,,,BaseString,,,,,"Continuous hex-encoded byte stream. When output, without separators (e.g. deadbeef for 4 bytes)",
2228278,54,HexByteStrings0xPrefix,"Hexadecimal bytes, lowercase (output) or case-insensitive (input), prefixed with 0x",armor,,,,,,Hexadecimal,,,,,,
2228532,308,Hexdump,Family of formats of binary data represented as hexadecimal,armor,,,,,,Hexadecimal,,,,,,
2228279,55,HexdumpPlain,Plain hexdump format,armor,,,,,,Hexdump,,,,,,
2228280,56,HexdumpFancy437,Fancy hexdump format used in ctoolbox web UI,armor,,,,,,Hexdump,,,,,,
2228281,57,Base16b,Modified Base16b family,armor,,,,,,BaseString,,,,,,
2228282,58,Base16b_7,"Base16b, base 7",armor,,,,,,Base16b,,,,,,
2228283,59,Base16b_8,"Base16b, base 8",armor,,,,,,Base16b,,,,,,
2228284,60,Base16b_9,"Base16b, base 9",armor,,,,,,Base16b,,,,,,
2228285,61,Base16b_10,"Base16b, base 10",armor,,,,,,Base16b,,,,,,
2228286,62,Base16b_11,"Base16b, base 11",armor,,,,,,Base16b,,,,,,
2228287,63,Base16b_12,"Base16b, base 12",armor,,,,,,Base16b,,,,,,
2228288,64,Base16b_13,"Base16b, base 13",armor,,,,,,Base16b,,,,,,
2228289,65,Base16b_14,"Base16b, base 14",armor,,,,,,Base16b,,,,,,
2228290,66,Base16b_15,"Base16b, base 15",armor,,,,,,Base16b,,,,,,
2228291,67,Base16b_16,"Base16b, base 16",armor,,,,,,Base16b,,,,,,
2228292,68,Base16b_17,"Base16b, base 17",armor,,,,,,Base16b,,,,,,
2228293,69,BaseNb_7,"BaseNb, base 7",armor,,,,,,BaseNb,,,,,,
2228294,70,BaseNb_8,"BaseNb, base 8",armor,,,,,,BaseNb,,,,,,
2228295,71,BaseNb_9,"BaseNb, base 9",armor,,,,,,BaseNb,,,,,,
2228296,72,BaseNb_10,"BaseNb, base 10",armor,,,,,,BaseNb,,,,,,
2228297,73,BaseNb_11,"BaseNb, base 11",armor,,,,,,BaseNb,,,,,,
2228298,74,BaseNb_12,"BaseNb, base 12",armor,,,,,,BaseNb,,,,,,
2228299,75,BaseNb_13,"BaseNb, base 13",armor,,,,,,BaseNb,,,,,,
2228300,76,BaseNb_14,"BaseNb, base 14",armor,,,,,,BaseNb,,,,,,
2228301,77,BaseNb_15,"BaseNb, base 15",armor,,,,,,BaseNb,,,,,,
2228302,78,BaseNb_16,"BaseNb, base 16",armor,,,,,,BaseNb,,,,,,
2228303,79,BaseNb_17,"BaseNb, base 17",armor,,,,,,BaseNb,,,,,,
2228499,275,Unknown,Unknown data,armor,application/octet-stream,", .bin",,,,,,,,,,
2228503,279,QuotedPrintable,Quoted-Printable,armor,,,,,,,,,,,,
2228504,280,Uuencode,Uuencode,armor,,".uue, .uu",,,,,,,,,,
2228505,281,YEnc,yEnc,armor,,".ync, .yenc",,,,,,,,,,
2228506,282,BinHex,The common BinHex 4 format,armor,"application/mac-binhex40, application/mac-binhex, application/binhex",.hqx,,,,,,,,,,
2228507,283,BinHexTrs80,BinHex for TRS-80,armor,,.hex,,,,,,,,,,
2228508,284,BinHex1,BinHex 1 for Macintosh,armor,,,,,,,,,,,,
2228509,285,BinHex2,BinHex 2,armor,,.hcx,,,,,,,,,,
2228510,286,BinHex5,BinHex 5,armor,,,,,,,,,,,,
2228511,287,MacBinary,MacBinary,armor,"application/macbinary, application/x-macbinary",".bin, .macbin",,,,,,,,,,
2228519,295,PercentEncoding,Percent encoding (URL encoding),armor,,,,,,,,,,,,
2228520,296,NumericCharacterReferenceDec,Numeric Character Reference (decimal),armor,,,,,,,,,,,,
2228521,297,NumericCharacterReferenceHex,Numeric Character Reference (hexadecimal),armor,,,,,,,,,,,,
2228522,298,MimeBase64,"Base64 with separators, line length 76",armor,,,,,,,,,,,,
2228523,299,Xxencode,xxencoding,armor,,".xxe, .xx",,,,,,,,,,
2228565,341,HexdumpXxd,xxd-style hexdump (as output by default xxd settings),armor,,,,,,Hexadecimal,,,,,,
2228275,51,BaseString,Data encoded using an alphabet,armor,,,,,,,,,,,,
