Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format or Category, or Chain (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228404,180,Csv,Comma-Separated Values,database,,.csv,,,,,,,,,,
2228405,181,Tsv,Tab-Separated Values,database,,.tsv,,,,,,,,,,
2228406,182,Ssv,Semicolon-Separated Values,database,,.ssv,,,,,,,,,,
2228407,183,Multipart,Multipart form data,database,,,,,,,,,,,,
2228408,184,Json,JSON,database,,.json,,,,,,,,,,
2228409,185,Jsonc,JSONC,database,Json,.json,,,,,,,,,,
2228410,186,Xml,XML,database,,.xml,,,,,,,,,,
2228411,187,Warc,WARC,database,,.warc,,,,,,,,,,
2228412,188,Pan,Panorama database,database,,".pan, ",,,,,,,,,,
2228413,189,Sqlite,SQLite database,database,,.sqlite,,,,,,,,,,
2228414,190,IaMetaJson,Internet Archive metadata JSON,database,Json,.json,,,,,,,,,,
2228415,191,IaFilesXml,Internet Archive files XML,database,Xml,~_files\.xml$~,,,,,,,,,,
2228416,192,IaMetaXml,Internet Archive metadata XML,database,Xml,~_meta\.xml$~,,,,,,,,,,
2228417,193,IaMetaSqlite,Internet Archive metadata SQLite,database,Sqlite,~_meta\.sqlite$~,,,,,,,,,,
2228418,194,Clubcard,Clubcard data,database,,,,,,,,,,,,
2228419,195,CrliteFilter,CRLite filter data,database,,,,,,,,,,,,
2228420,196,CrliteFilterDelta,CRLite filter delta,database,,,,,,,,,,,,
2228421,197,CommonLogFormat,NCSA Common Log Format,database,,,,,,,,,,,,
2228422,198,ExtendedLogFormat,W3C Extended Log Format,database,,,,,,,,,,,,
2228449,225,Pem,"PEM printable encoding (Privacy-Enhanced Mail, RFC 7468)",database,,".pem, .crt",application/x-pem-file,,,,,,,,See more specific formats below,
2228533,309,Pkcs8PrivateKey,PKCS#8 Private Key (RFC 5958 sec. 7.1) (Public Key Cryptography Standard 8),database,,".p8, .key",application/pkcs8,,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228534,310,Pkcs10Csr,PKCS#10 Certificate Signing Request (RFC 5967 sec. 3.1) (Public Key Cryptography Standard 10),database,,".p10, .csr",application/pkcs10,,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228535,311,PkixCert,X.509 Certificate (RFC 2585 sec. 4.1; RFC 5280 sec. 4),database,,".cer, .crt","application/pkix-cert, application/x-x509-ca-cert, application/x-x509-user-cert, application/x-x509-email-cert",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst https://nss-crypto.org/reference/_sources/security/nss/legacy/certificate_download_specification/index.rst.txt
2228536,312,PkixCrl,X.509 CRL (RFC 2585 sec. 4.2; RFC 5280 sec. 5),database,,.crl,"application/pkix-crl, application/x-pkcs7-crl",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228537,313,Pkcs7Mime,PKCS#7 Certificate Bundle (RFC 5273 p. 3; RFC 2315 sec. 9.1) (Public Key Cryptography Standard 7),database,,".p7c, .p7b, .spc, .p7r","application/pkcs7-mime, application/x-pkcs7-certificates, application/x-pkcs7-certreqresp",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228538,314,Pkcs12,PKCS#12 Key and Certificate Bundle (Public Key Cryptography Standard 12),database,,".p12, .pfx",application/x-pkcs12,com.rsa.pkcs-12,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
