ID,Ident (Rust-friendly),Label,Category,"Layer (Semantic, Serialization, Armor, Compression, Container)","MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2,DcIntegerList,Dc Integer List,document,serialization,,.dcil,,,,,2,3,1,,"ASCII text containing list of integers representing classic Dcs. Strictly, one space after every int, and no newlines. Loosely, with newlines or multiple spaces, or no end space.",
5,Html,HTML,document,,,".htm, .html",,,,,,1,1,encoding,,
6,Sems,SEMS,document,,,.sems,,,,,2,,1,,"Space-separated list of ints representing classic Dcs, with comments. Comments are UTF-8. Strictly, one space after every int, valid UTF-8 comments only, and a final newline.",
13,HtmlFragment,HTML fragment,document,,,.htmfrag,,,,,,1,1,,Variants: same as HTML,
14,Text,Text,document,,,.txt,,,,,,,,encoding,HTML and text both should default to UTF8 as the default encoding. Encodings fill a somewhat odd role since they are both encodings and formats (with the text format plus a given encoding being the same thing as that encoding by itself).,
17,Elad,EITE Language in ASCII documents (ELAD),document,,,.elad,,,,,,1,,,,
21,EiteColorCoded,Color-coded HTML integer list,document,,,.htm,,,,,,1,,,HTML file containing color-coded Dc integer list,
81,CString,C string (null-terminated),document,,,,,,,String,,,,,,
82,PascalString,Pascal string,document,,,,,,,String,,,,,,
88,DcText,DcText,document,,,,,,,,,,,,,
89,DcUtf,DcUtf,document,,,,,,,,,,,,,
90,DcList,DcList,document,,,,,,,,,,,,,
92,Cdce,CDCE,document,,,,,,,,,,,,,
93,CdceLegacy,CDCE (legacy),document,,,,,,,,,,,,,
94,CdceLegacyStrict,"CDCE (legacy, strict)",document,,,,,,,,,,,,,
95,Dce,DCE (automatic version selection),document,,,,,,,,,,,,,
96,DceHex,DCE (hex-encoded),document,,,,,,,,,,,,,
97,Dce_3_0a,DCE 3.0a,document,,,,,,,,,,,,,
98,Dce_3_0a_raw,DCE 3.0a (raw),document,,,,,,,,,,,,,
99,Dce_3_0a_hex,DCE 3.0a (hex-encoded),document,,,,,,,,,,,,,
100,Dce_3_0a_raw_hex,DCE 3.0a (raw hex-encoded),document,,,,,,,,,,,,,
101,Dce_3_0a_old,DCE 3.0a (old translator),document,,,,,,,,,,,,,
102,Dce2txt,dce2txt,document,,,,,,,,,,,,,
103,Dce2hex,dce2hex,document,,,,,,,,,,,,,
104,Hex2dce,hex2dce,document,,,,,,,,,,,,,
105,Dce_3_01a,DCE 3.01a,document,,,,,,,Dce,,,,,,
106,Dce_3_01a_raw,DCE 3.01a (raw),document,,,,,,,Dce_3_01a,,,,,,
107,Dce_3_01a_hex,DCE 3.01a (hex-encoded),document,,,,,,,Dce_3_01a & Hexadecimal,,,,,,
108,Dce_3_01a_raw_hex,DCE 3.01a (raw hex-encoded),document,,,,,,,Dce_3_01a_raw & Hexadecimal,,,,,,
109,DcIdList,Dc ID list (ASCII),document,,,,,,,,,,,,Is this the same thing as dcil?,
111,Utf8_Dc64,"UTF-8 (Base64-encoded, ASCII Dc ID list)",document,,,,,,,,,,,,,
112,Utf8_Dc64_enc,"UTF-8 (Base64-encoded, ASCII Dc ID list; with headers)",document,,,,,,,,,,,,,
113,Utf8_Dc64_bin,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding)",document,,,,,,,,,,,,,
114,Utf8_Dc64_bin_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; hex-encoded)",document,,,,,,,,,,,,,
115,Utf8_Dc64_bin_enc,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers)",document,,,,,,,,,,,,,
116,Utf8_Dc64_bin_enc_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers; hex-encoded)",document,,,,,,,,,,,,,
117,HtmlLegacyCdce,HTML (legacy CDCE output),document,,,,,,,,,,,,,
118,HtmlLegacyCdceSnippet,HTML (snippet) (legacy CDCE output),document,,,,,,,,,,,,,
164,Pdf,PDF (Portable Document Format),document,,,.pdf,,,,,,,,,,
165,Markdown,Markdown,document,,,.md,,,,,,,,,,
166,Troff,Troff,document,,,.troff,,,,,,,,,,
167,Rss,"RSS 2, the common RSS format",document,,,.rss,,,,,,,,,,
168,Rss09,RSS 0.90,document,,,.rdf,,,,,,,,,,
169,Rss091Netscape,"RSS 0.91, Netscape version",document,,,.xml,,,,,,,,,,
170,Rss091UserLand,"RSS 0.91, UserLand version",document,,,.xml,,,,,,,,,,
171,Rss092,RSS 0.92,document,,,.xml,,,,,,,,,,
172,Rss1,RSS 1.0,document,,,.xml,,,,,,,,,,
173,ScriptingNews10,Scripting News 1.0a2,document,,,.xml,,,,,,,,,,
174,ScriptingNews20,Scripting News 2.0b1,document,,,.xml,,,,,,,,,,
175,Atom,Atom,document,,,.atom,,,,,,,,,,
176,HAtom,hAtom,document,,,.html,,,,,,,,,,
177,JsonFeed11,JSON Feed 1.1,document,,,.json,,,,,,,,,,
178,WfscanOutput,`wfscan` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,,,,
179,WfparseOutput,`wfparser` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,,,,
278,Mime,Multipurpose Internet Mail Extensions,document,,"message/rfc822, multipart/mixed",".eml, .mim, .mime",,,,,,,,,,
294,OutlookMsg,Microsoft Outlook Email,document,,application/vnd.ms-outlook,.msg,,,,,,,,,,
315,AppleSingle,AppleSingle,document,,application/applefile,.as,,,,,,,,,,https://raw.githubusercontent.com/fadden/CiderPress2/7a055a200e31f752f3a92bb9fe6ae6f67cd55534/DiskArc/Arc/AppleSingle-notes.md
316,AppleDouble (RFC 1740),AppleDouble,document,,multipart/appledouble,"~^\._~, ~/\.AppleDouble/~, ~/__MACOSX/~, .ADF, ~^%~, ~^R\.~, .rsrc",,,,,,,,,,https://raw.githubusercontent.com/fadden/CiderPress2/7a055a200e31f752f3a92bb9fe6ae6f67cd55534/DiskArc/Arc/AppleSingle-notes.md
317,CtbNode,Collective Toolbox serialized node package,document,,,.ctbn,,,,,,,,,,
318,CtbNodeV1,"Collective Toolbox serialized node package, version 1",document,,,.ctbn,,,,CtbNode,,,,,,
