Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (=), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
,,MinixFs,MINIX Filesystem,filesystem,,,,,,,,,,,,
,,Ext,ext filesystem,filesystem,,,,,,,,,,,,
,,Ext2,ext2 filesystem,filesystem,Ext,,,,,,,,,,,
,,Ext3,ext3 filesystem,filesystem,Ext2,,,,,,,,,,,
,,Ext4,ext4 filesystem,filesystem,Ext3,,,,,,,,,,,
,,Xiafs,Xiafs,filesystem,,,,,,,,,,,,
,,Xfs,XFS filesystem,filesystem,,,,,,,,,,,,
,,Btrfs,Btrfs,filesystem,,,,,,,,,,,,
,,F2fs,F2FS (Flash-Friendly File System),filesystem,,,,,,,,,,,,
,,Zfs,ZFS (FKA Zettabyte File System),filesystem,,,,,,,,,,,,
,,Tmpfs,Temporary filesystem,virtualfilesystem,,,,,,,,,,,,
,,Ramfs,RAM disk filesystem,virtualfilesystem,,,,,,,,,,,,
,,Overlayfs,Overlay filesystem,virtualfilesystem,,,,,,,,,,,,
,,Fat8bit,FAT (File Allocation Table),filesystem,,,,,,,,,,,,
,,Fat12,FAT12,filesystem,Fat8bit,,,,,,,,,,,
,,Fat16,FAT16,filesystem,Fat8bit,,,,,,,,,,,
,,Fat16b,FAT16B,filesystem,Fat16,,,,,,,,,,,
,,Fat32,FAT32,filesystem,Fat32,,,,,,,,,,,
,,Exfat,ExFAT,filesystem,Fat32,,,,,,,,,,,
,,Fatx,FATX,filesystem,,,,,,,,,,,,
,,Fatx16,FATX16,filesystem,Fat16 & Fatx,,,,,,,,,,,
,,Fatx32,FATX32,filesystem,Fat32 & Fatx,,,,,,,,,,,
,,FatPlus,FAT+,filesystem,,,,,,,,,,,,
,,Fat16Pus,FAT16+,filesystem,Fat16 & FatPlus,,,,,,,,,,,
,,Fat32Plus,FAT32+,filesystem,Fat32 & FatPlus,,,,,,,,,,,
,,Umsdos,UMSDOS,filesystem,,,,,,,,,,,,
,,Uvfat,UVFAT,filesystem,,,,,,,,,,,,
,,Vfat,VFAT,filesystem,,,,,,,,,,,,
,,Smb,SMB (Server Message Block),virtualfilesystem,,,,,,,,,,,,
,,Cifs,CIFS (Common Internet File System),virtualfilesystem,Smb,,,,,,,,,,,
,,Smb2,SMB2,virtualfilesystem,Smb,,,,,,,,,,,
,,Nfs,NFS (Network File System),virtualfilesystem,,,,,,,,,,,,
,,Iso9660,ISO 9660,filesystem,,,,,,,,,,,,
,,Udf,UDF (Universal Disk Format),filesystem,,,,,,,,,,,,
,,Joliet,Joliet,filesystem,Iso9660,,,,,,,,,,,
,,Mfs,MFS (Macintosh File System),filesystem,,,,,,,,,,,,
,,Hfs,HFS (Hierarchical File System),filesystem,,,,,,,,,,,,
,,HfsPlus,HFS+,filesystem,Hfs,,,,,,,,,,,
,,Apfs,APFS,filesystem,,,,,,,,,,,,
,,Ntfs,NTFS,filesystem,,,,,,,,,,,,
,,Refs,ReFS,filesystem,,,,,,,,,,,,
,,ReiserFs,ReiserFS,filesystem,,,,,,,,,,,,
,,Reiser4,Reiser4,filesystem,ReiserFs,,,,,,,,,,,
,,Bcachefs,Bcachefs,filesystem,,,,,,,,,,,,
