Dc,Short,Ident (Rust-friendly),Label,Category,"Layer (Semantic, Serialization, Armor, Compression, Container)","MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
,238,XxHash32,xxHash32,hash,,,,,,,,,,,,,
,239,XxHash64,xxHash64,hash,,,,,,,,,,,,,
,240,XxHash3_64,xxHash3-64,hash,,,,,,,,,,,,,
,241,XxHash3_128,xxHash3-128,hash,,,,,,,,,,,,,
,242,Md5,MD5,hash,,,,,,,,,,,,,
,243,Md6,MD6,hash,,,,,,,,,,,,,
,244,Sha1,SHA-1,hash,,,,,,,,,,,,,
,245,Sha256,SHA-256,hash,,,,,,,,,,,,,
,246,Sha512,SHA-512,hash,,,,,,,,,,,,,
,247,Sha3,SHA-3,hash,,,,,,,,,,,,,
,248,Tiger,Tiger checksum,hash,,,,,,,,,,,,,
,249,Whirlpool,Whirlpool checksum,hash,,,,,,,,,,,,,
,250,Adler32,Adler32,hash,,,,,,,,,,,,,
,251,Fletcher4,Fletcher4,hash,,,,,,,,,,,,,
,252,Fletcher8,Fletcher8,hash,,,,,,,,,,,,,
,253,Fletcher16,Fletcher16,hash,,,,,,,,,,,,,
,254,Fletcher32,Fletcher32,hash,,,,,,,,,,,,,
,255,Crc32,CRC-321,hash,,,,,,,,,,,,,
,256,Cksum,`cksum`,hash,,,,,,,,,,,,,
,257,BsdChecksum,BSD checksum,hash,,,,,,,,,,,,,
,258,SysvChecksum,SYSV checksum,hash,,,,,,,,,,,,,
,259,Hmac,HMAC,hash,,,,,,,,,,,,,
,260,Blake,BLAKE,hash,,,,,,,,,,,,,
,261,Blake2,BLAKE2,hash,,,,,,,,,,,,,
,262,Blake3,BLAKE3,hash,,,,,,,,,,,,,
,263,UserAgent,User-Agent string,hash,,,,,,,,,,,,,
,264,FileExtension,File extension,hash,,,,,,,,,,,,,
,265,UriProtocol,URI protocol,hash,,,,,,,,,,,,,
